Rule 14:
If predecessor ?b, then father ?b.
Valdemar I of Denmark, Valdemar I of Denmark has predecessor Sweyn III of Denmark The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert III of Scotland, Robert III of Scotland has predecessor Robert II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Fulk IV Count of Anjou, Fulk IV Count of Anjou has predecessor Geoffrey III Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Antoine of Navarre, Antoine of Navarre has predecessor Henry II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Peter of Castile, Peter of Castile has predecessor Alfonso XI of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry Count of Portugal, Henry Count of Portugal has predecessor Raymond of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has father Robert II Count of Artois, Mahaut Countess of Artois has predecessor Robert II Count of Artois The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles IV Holy Roman Emperor, Charles IV Holy Roman Emperor has predecessor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VIII, Henry VIII has predecessor Henry VII of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
George II of Great Britain has father George I of Great Britain, George II of Great Britain has predecessor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Amadeus III Count of Savoy, Amadeus III Count of Savoy has predecessor Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XV, Louis XV has predecessor Louis XIV The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo I Duke of Burgundy, Odo I Duke of Burgundy has predecessor Hugh I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Gian Galeazzo Sforza, Gian Galeazzo Sforza has predecessor Galeazzo Maria Sforza The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Arnulf Count of Holland has father Dirk II Count of Holland, Arnulf Count of Holland has predecessor Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has predecessor Conrad IV of Germany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XVIII, Louis XVIII has predecessor Louis XVII The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has predecessor Rudolph of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Berengar II of Italy, Berengar II of Italy has predecessor Lothair II of Italy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Adolf King of the Romans, Adolf King of the Romans has predecessor Rudolf I of Germany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.5121
- Rule Classification: POSITIVE (PCA Confidence 0.5121 >= threshold 0.5)
- Standard Confidence: 0.2961
- Head Coverage: 0.1889
