Rule 5:
If child ?b, then successor ?b.
Maria Beatrice of Savoy, Maria Beatrice of Savoy has child Archduke Ferdinand Karl Viktor of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has child Archduke Ferdinand Karl Viktor of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has child George Gordon 5th Earl of Huntly The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Gordon Countess of Huntly, Elizabeth Gordon Countess of Huntly has child George Gordon 5th Earl of Huntly The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Salomea of Berg, Salomea of Berg has child Mieszko III the Old The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has child Richard I of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England has successor Richard I of England, Henry II of England has child Richard I of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
John II of Aragon, John II of Aragon has child Joanna of Aragon Queen of Naples The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has child John of Castile Lord of Valencia de Campos The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella Duchess of Lorraine, Isabella Duchess of Lorraine has child Louis of Anjou Marquis of Pont   Mousson The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has child Louis of Anjou Marquis of Pont   Mousson The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has child Sancho Alfonso The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou, Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child Prince Octavius of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child Prince Octavius of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Bald, Charles the Bald has child Lothair the Lame The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles V of France, Charles V of France has child Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Bourbon, Joanna of Bourbon has child Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Ferdinand II of Aragon has child Isabella of Aragon Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has child Thomas Grey 1st Marquess of Dorset The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John King of England, John King of England has child Richard of Cornwall The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Maria Antonia Ferdinanda of Spain has child Prince Maurizio Duke of Montferrat The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has child Prince Maurizio Duke of Montferrat The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James I of Scotland, James I of Scotland has child Isabella of Scotland Duchess of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Letizia Bonaparte, Letizia Bonaparte has child Napoleon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Sancha of Castile Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Lancaster, Eleanor of Lancaster has child Henry Beaumont 3rd Baron Beaumont The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII of England has successor Henry VIII, Henry VII of England has child Henry VIII The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Henry the Fowler, Henry the Fowler has child Otto I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has child Marie Ad la de of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward I of England, Edward I of England has child Margaret of England Duchess of Brabant The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ermentrude of Orl ans, Ermentrude of Orl ans has child Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Stephen II Duke of Bavaria, Stephen II Duke of Bavaria has child John II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has child John Duke of Touraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has child Charles V Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Luisa of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho I of Portugal, Sancho I of Portugal has child Sancha Lady of Alenquer The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves, Mary of Burgundy Duchess of Cleves has child Marie of Cleves Duchess of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has child Eleanor of Portugal Holy Roman Empress The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward King of Portugal, Edward King of Portugal has child Eleanor of Portugal Holy Roman Empress The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has child Margaret of Valois Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Claude of France, Claude of France has child Margaret of Valois Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England, Henry II of England has child William IX Count of Poitiers The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has child William IX Count of Poitiers The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip II of Spain, Philip II of Spain has child Catalina Micaela of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Countess Palatine Caroline of Zweibr cken has child Princess Louise of Hesse Darmstadt 1757 1830 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has child James of Castile Lord of Cameros The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Anna of Austria Queen of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has child Otto I Count Palatine of Mosbach The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has child Infante Gabriel of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Maurienne, Adelaide of Maurienne has child Henry of France Archbishop of Reims The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has child Edward Woodville Lord Scales The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduchess Maria Elisabeth of Austria born 1743 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has child Patrick Gordon of Auchindoun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Gordon Countess of Huntly, Elizabeth Gordon Countess of Huntly has child Patrick Gordon of Auchindoun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has child Rudolf IV Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Robert II Duke of Burgundy has child Odo IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho IV of Castile, Sancho IV of Castile has child Peter of Castile Lord of Cameros The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has child Beatrice of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830, Princess Louise of Hesse Darmstadt 1757 1830 has child Princess Caroline Louise of Saxe Weimar Eisenach The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the German has successor Louis the Younger, Louis the German has child Louis the Younger The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Hemma, Hemma has child Louis the Younger The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Gordon Countess of Huntly, Elizabeth Gordon Countess of Huntly has child Jean Gordon Countess of Bothwell The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has child Jean Gordon Countess of Bothwell The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Countess Palatine Hedwig Elisabeth of Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Urraca of Castile Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II of Scotland, Robert II of Scotland has child David Stewart Earl of Strathearn The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany, Leopold II Holy Roman Emperor has child Ferdinand III Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has child Margaret of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Beatrice of Savoy, Beatrice of Savoy has child Margaret of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Archduchess Margaret of Austria nun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child Barbara of Hesse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has child William II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles X, Charles X has child Sophie of France 1776 1783 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward the Elder, Edward the Elder has child Edwin son of Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 lffl d wife of Edward the Elder,  lffl d wife of Edward the Elder has child Edwin son of Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has child Princess Marie Isabelle of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has child Princess Marie Isabelle of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has child Louis Alexandre Prince of Lamballe The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Archduke Joseph Franz of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has child Archduke Joseph Franz of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has child Prince Robert Duke of Chartres The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans, Ferdinand Philippe Duke of Orl ans has child Prince Robert Duke of Chartres The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has child Matilda of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Gerberga of Saxony, Gerberga of Saxony has child Matilda of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bertha of Holland, Bertha of Holland has child Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Elizabeth of Austria 1436 1505 has child Saint Casimir The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso III of Portugal, Afonso III of Portugal has child Maria of Portugal nun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has child Philippa of Dreux The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Alburquerque has child Maria of Aragon Queen of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has child Maria of Aragon Queen of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child George IV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child George IV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has child Princess Mar a Cristina of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has child Princess Mar a Cristina of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has child Philip V of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Maria de Medici 1540 1557 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VI of France, Louis VI of France has child Peter I of Courtenay The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has child Matthias Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Matthias Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child Philip the Bold The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Maria of Austria Duchess of J lich Cleves Berg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has child Maria of Austria Duchess of J lich Cleves Berg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VIII of France, Louis VIII of France has child Isabelle of France saint The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has child Isabelle of France saint The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child Prince Alfred of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child Prince Alfred of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Alburquerque has child Henry Duke of Villena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has child Henry Duke of Villena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, Princess Augusta of Saxe Gotha has child Princess Elizabeth of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick Prince of Wales, Frederick Prince of Wales has child Princess Elizabeth of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles V of France, Charles V of France has child Jean de Montagu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has child Matilda of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has child Philip de Medici The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Duke of Lorraine, Francis II Duke of Lorraine has child Marguerite of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick Prince of Wales, Frederick Prince of Wales has child George III The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John King of England, John King of England has child Isabella of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans, Louis Philippe I Duke of Orl ans has child Louis Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has child Philibert II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Pepin of Herstal has successor Grimoald the Younger, Pepin of Herstal has child Grimoald the Younger The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Catherine de Medici, Catherine de Medici has child Francis II of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France has successor Francis II of France, Henry II of France has child Francis II of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has child Philippe Emmanuel Duke of Merc ur The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sophia of Minsk, Sophia of Minsk has child Valdemar II of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Valdemar I of Denmark, Valdemar I of Denmark has child Valdemar II of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has child Catherine Henriette de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has successor Sancho III of Castile, Alfonso VII of Le n and Castile has child Sancho III of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Eleanor of Lancaster, Eleanor of Lancaster has child John FitzAlan 1st Baron Arundel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand III of Castile, Ferdinand III of Castile has child Manuel of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hortense de Beauharnais, Hortense de Beauharnais has child Napoleon III The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Bonaparte, Louis Bonaparte has child Napoleon III The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has child Willa of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has child Peter Duke of Coimbra The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho IV of Castile, Sancho IV of Castile has child Philip of Castile Lord of Cabrera and Ribera The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella Duchess of Lorraine, Isabella Duchess of Lorraine has child Margaret of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has child Margaret of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has child Margaret II Countess of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France, Henry II of France has child Louis of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England, Henry II of England has child Geoffrey archbishop of York The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has child Bonne of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sophia Eleonore of Saxony, Sophia Eleonore of Saxony has child Louis VI Landgrave of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has child Victor Emmanuel I of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Maria Antonia Ferdinanda of Spain has child Victor Emmanuel I of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has child  lisabeth of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Valdemar I of Denmark, Valdemar I of Denmark has child Richeza of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sophia of Minsk, Sophia of Minsk has child Richeza of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sibylla of Anjou, Sibylla of Anjou has child Philip I Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth the Cuman, Elizabeth the Cuman has child Ladislaus IV of Hungary The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso IX of Le n, Alfonso IX of Le n has child Berengaria of Le n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has child Maximiliana Maria of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves, Mary of Burgundy Duchess of Cleves has child Catherine of Cleves 1417 1479 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Duke Charles Louis Frederick of Mecklenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Castile, Eleanor of Castile has child Elizabeth of Rhuddlan The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa has successor Joseph II Holy Roman Emperor, Maria Theresa has child Joseph II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Antoinette of Bourbon, Antoinette of Bourbon has child Claude Duke of Aumale The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Clemence of Austria, Clemence of Austria has child Charles I of Hungary The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I Duke of Brittany has successor John II Duke of Brittany, John I Duke of Brittany has child John II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has child Prince Ferdinand Duke of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan II of Navarre, Joan II of Navarre has child Philip Count of Longueville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has child Philip Count of Longueville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Leopold I Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Prince Giuseppe of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Orl ans, Charles Duke of Orl ans has child Marie of Orl ans Viscountess of Narbonne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has child Marie of Orl ans Viscountess of Narbonne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Brabant Queen of France, Marie of Brabant Queen of France has child Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of France, Philip III of France has child Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth Farnese, Elisabeth Farnese has child Maria Teresa Rafaela of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduchess Maria Josepha of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
