Rule 24:
If predecessor ?a, then child ?b.
Berengar II of Italy, Otto I Holy Roman Emperor has predecessor Berengar II of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Archduchess Anna of Austria, Renata of Lorraine has predecessor Archduchess Anna of Austria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sweyn III of Denmark, Valdemar I of Denmark has predecessor Sweyn III of Denmark The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Robert II of Scotland, Robert III of Scotland has predecessor Robert II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Marie Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Frederick I Duke of Lorraine has child Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Geoffrey III Count of Anjou, Fulk IV Count of Anjou has predecessor Geoffrey III Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry II of Navarre, Antoine of Navarre has predecessor Henry II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso XI of Castile, Peter of Castile has predecessor Alfonso XI of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Raymond of Burgundy, Henry Count of Portugal has predecessor Raymond of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has child Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Robert II Count of Artois, Mahaut Countess of Artois has predecessor Robert II Count of Artois The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John of Bohemia has child Charles IV Holy Roman Emperor, Charles IV Holy Roman Emperor has predecessor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry the Fowler has child Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry VII of England has child Henry VIII, Henry VIII has predecessor Henry VII of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
George I of Great Britain has child George II of Great Britain, George II of Great Britain has predecessor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Humbert II Count of Savoy, Amadeus III Count of Savoy has predecessor Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis XIV, Louis XV has predecessor Louis XIV The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Hugh I Duke of Burgundy, Odo I Duke of Burgundy has predecessor Hugh I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Galeazzo Maria Sforza, Gian Galeazzo Sforza has predecessor Galeazzo Maria Sforza The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Dirk II Count of Holland has child Arnulf Count of Holland, Arnulf Count of Holland has predecessor Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Conrad IV of Germany, Henry VII Holy Roman Emperor has predecessor Conrad IV of Germany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis XVII, Louis XVIII has predecessor Louis XVII The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Rudolph of France, Louis IV of France has predecessor Rudolph of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Matthias II Duke of Lorraine has child Frederick III Duke of Lorraine, Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Lothair II of Italy, Berengar II of Italy has predecessor Lothair II of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Rudolf I of Germany, Adolf King of the Romans has predecessor Rudolf I of Germany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.5381
- Rule Classification: POSITIVE (PCA Confidence 0.5381 >= threshold 0.5)
- Standard Confidence: 0.3547
- Head Coverage: 0.0842
