Rule 2:
If father ?a, then successor ?b.
Ferdinand II of Le n, Alfonso IX of Le n has father Ferdinand II of Le n The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Volodar Glebovich Prince of Minsk, Sophia of Minsk has father Volodar Glebovich Prince of Minsk The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis VIII of France has successor Louis IX of France, Louis IX of France has father Louis VIII of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Humbert II Count of Savoy, Adelaide of Maurienne has father Humbert II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald II Duke of Lorraine, Frederick IV Duke of Lorraine has father Theobald II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Duke of Vend me, Antoine of Navarre has father Charles Duke of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rudolph Duke of Lorraine, John I Duke of Lorraine has father Rudolph Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752 The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Francis I Duke of Lorraine has successor Charles III Duke of Lorraine, Charles III Duke of Lorraine has father Francis I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Sancho Alfonso, Eleanor of Alburquerque has father Sancho Alfonso The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Olof Sk tkonung, Ingegerd Olofsdotter of Sweden has father Olof Sk tkonung The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John IV Duke of Brittany, Richard Count of  tampes has father John IV Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Denis of Portugal, Afonso IV of Portugal has father Denis of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XV, Louise  lisabeth of France has father Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis the German has successor Charles the Fat, Charles the Fat has father Louis the German The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Philippe II Duke of Orl ans, Charlotte Agla  d Orl ans has father Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John I of Aragon, Yolande of Aragon has father John I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Vladimir the Great, Yaroslav the Wise has father Vladimir the Great The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IX of France, Agnes of France Duchess of Burgundy has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IX of France has successor Philip III of France, Philip III of France has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis IX of France, Robert Count of Clermont has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry 3rd Earl of Lancaster, Eleanor of Lancaster has father Henry 3rd Earl of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rurik, Igor of Kiev has father Rurik The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Martel of Anjou, Clementia of Hungary has father Charles Martel of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Afonso I of Portugal has successor Sancho I of Portugal, Sancho I of Portugal has father Afonso I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Simon I de Montfort, Bertrade of Montfort has father Simon I de Montfort The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Joan the Lame has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Margaret of Burgundy Queen of France has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Odo IV Duke of Burgundy has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I of Castile, Ferdinand I of Aragon has father John I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Francesco III d Este Duke of Modena, Maria Teresa Felicitas d Este has father Francesco III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I of the Two Sicilies, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has father Francis I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I of the Two Sicilies, Maria Christina of the Two Sicilies has father Francis I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Berengar II of Italy, Rozala of Italy has father Berengar II of Italy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Christian III Count Palatine of Zweibr cken, Countess Palatine Caroline of Zweibr cken has father Christian III Count Palatine of Zweibr cken The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Peter I of Portugal, John I of Portugal has father Peter I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sviatoslav I has successor Vladimir the Great, Vladimir the Great has father Sviatoslav I The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Francis II Holy Roman Emperor, Marie Louise Duchess of Parma has father Francis II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XIV, Fran oise Marie de Bourbon has father Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XIV, Louis Dauphin of France son of Louis XIV has father Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Walter Stewart 6th High Steward of Scotland, Robert II of Scotland has father Walter Stewart 6th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alexandre de Beauharnais, Hortense de Beauharnais has father Alexandre de Beauharnais The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Count of  vreux, Joan of  vreux has father Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Count of  vreux, Philip III of Navarre has father Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg, Henry VI Count of Luxembourg has father Henry V Count of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
William I of Provence, Constance of Arles has father William I of Provence The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James III of Scotland, James IV of Scotland has father James III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charlemagne has successor Louis the Pious, Louis the Pious has father Charlemagne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry VII of England, Mary Tudor Queen of France has father Henry VII of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald III Count of Champagne, Theobald I of Navarre has father Theobald III Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand III of Castile, Eleanor of Castile has father Ferdinand III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand III of Castile, Alfonso X of Castile has father Ferdinand III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
George Duke of Brunswic Calenberg, Ernest Augustus Elector of Hanover has father George Duke of Brunswic Calenberg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles II of Naples has successor Margaret Countess of Anjou, Margaret Countess of Anjou has father Charles II of Naples The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry IV of France has successor Louis XIII, Louis XIII has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry IV of France, Henrietta Maria has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry IV of France, Elisabeth of France 1602 1644 has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IX Landgrave of Hesse Darmstadt, Princess Louise of Hesse Darmstadt 1757 1830 has father Louis IX Landgrave of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Pepin of Herstal has successor Charles Martel, Charles Martel has father Pepin of Herstal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Giovanni delle Bande Nere, Cosimo I de Medici Grand Duke of Tuscany has father Giovanni delle Bande Nere The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick IV Duke of Lorraine, Rudolph Duke of Lorraine has father Frederick IV Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XIII, Philippe I Duke of Orl ans has father Louis XIII The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XIII has successor Louis XIV, Louis XIV has father Louis XIII The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has father Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Anne Marie d Orl ans has father Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles V of France, Louis I Duke of Orl ans has father Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Francis IV Duke of Modena has father Ferdinand Karl Archduke of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso X of Castile has successor Sancho IV of Castile, Sancho IV of Castile has father Alfonso X of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Rudolf I of Germany, Clemence of Austria has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rudolf I of Germany, Judith of Habsburg has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rudolf I of Germany, Albert I of Germany has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen V of Hungary, Mary of Hungary Queen of Naples has father Stephen V of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Wenceslaus II of Bohemia, Elizabeth of Bohemia 1292 1330 has father Wenceslaus II of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry II of England, Eleanor of England Queen of Castile has father Henry II of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James V of Scotland has successor Mary Queen of Scots, Mary Queen of Scots has father James V of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Philip II Duke of Savoy, Louise of Savoy has father Philip II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Charles III Duke of Savoy has father Philip II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Peter II of Courtenay, Yolanda of Courtenay has father Peter II of Courtenay The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert I Count of Artois, Blanche of Artois has father Robert I Count of Artois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Manuel I of Portugal, Isabella of Portugal has father Manuel I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Afonso V of Portugal, John II of Portugal has father Afonso V of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ingerman Count of Hesbaye, Ermengarde of Hesbaye has father Ingerman Count of Hesbaye The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Gerard Duke of Lorraine, Theodoric II Duke of Lorraine has father Gerard Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Andrew II of Hungary, Violant of Hungary has father Andrew II of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Matthew Stewart 4th Earl of Lennox, Henry Stuart Lord Darnley has father Matthew Stewart 4th Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Edward the Elder, Eadgifu of Wessex has father Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles IV of Spain, Mar a Isabella of Spain has father Charles IV of Spain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has father Charles Emmanuel II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Bolko I the Strict, Beatrice of Silesia has father Bolko I the Strict The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sancho IV of Castile has successor Ferdinand IV of Castile, Ferdinand IV of Castile has father Sancho IV of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John Frederick Duke of Brunswic Calenberg, Wilhelmine Amalie of Brunswick has father John Frederick Duke of Brunswic Calenberg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Thomas Count of Savoy, Beatrice of Savoy has father Thomas Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick II Count of Vaud mont, Ren  II Duke of Lorraine has father Frederick II Count of Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Igor of Kiev, Sviatoslav I has father Igor of Kiev The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Dirk II Count of Holland has successor Arnulf Count of Holland, Arnulf Count of Holland has father Dirk II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Rupert King of the Romans, Margaret of the Palatinate has father Rupert King of the Romans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Princess Marie Isabelle of Orl ans has father Antoine Duke of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert II of Germany, Elizabeth of Austria 1436 1505 has father Albert II of Germany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Hugh of Tours, Adelaide of Tours has father Hugh of Tours The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Burkhard V Count of Hohenberg, Gertrude of Hohenberg has father Burkhard V Count of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I of Brzeg, Margaret of Brieg has father Louis I of Brzeg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy, Louis Duke of Savoy has father Amadeus VIII Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Fulk King of Jerusalem, Sibylla of Anjou has father Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Augustus III of Poland, Maria Josepha of Saxony Dauphine of France has father Augustus III of Poland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Augustus III of Poland, Maria Amalia of Saxony has father Augustus III of Poland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip IV of France, Isabella of France has father Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Odo I Count of Orl ans, Ermentrude of Orl ans has father Odo I Count of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ernest Frederick I Duke of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has father Ernest Frederick I Duke of Saxe Hildburghausen The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Marie Ad la de of Savoy has father Victor Amadeus II of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has father Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Adalbert I of Ivrea, Berengar II of Italy has father Adalbert I of Ivrea The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sancho III of Castile has successor Alfonso VIII of Castile, Alfonso VIII of Castile has father Sancho III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
William XII Count of Auvergne has successor Joan I Countess of Auvergne, Joan I Countess of Auvergne has father William XII Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Edward the Exile, Saint Margaret of Scotland has father Edward the Exile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip VI of France has successor John II of France, John II of France has father Philip VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Albert I of Germany, Albert II Duke of Austria has father Albert I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Peter I Count of Saint Pol, Jacquetta of Luxembourg has father Peter I Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso II of Aragon, Peter II of Aragon has father Alfonso II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles VII of France has successor Louis XI, Louis XI has father Charles VII of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Floris I Count of Holland, Bertha of Holland has father Floris I Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert Duke of Bar, Violant of Bar has father Robert Duke of Bar The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Francis I Duke of Lorraine has father Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Nicolas Duke of Merc ur has father Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Jean Marie de Bourbon Duke of Penthi vre, Louise Marie Ad la de de Bourbon Duchess of Orl ans has father Louis Jean Marie de Bourbon Duke of Penthi vre The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis VII of France has successor Philip II of France, Philip II of France has father Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis VII of France, Alys of France Countess of Vexin has father Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sigismund Holy Roman Emperor, Elizabeth of Luxembourg has father Sigismund Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick II Margrave of Meissen, Elisabeth of Meissen has father Frederick II Margrave of Meissen The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Baldwin V Count of Hainaut, Isabella of Hainault has father Baldwin V Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John of Bohemia, Bonne of Luxembourg has father John of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James I of Aragon, Isabella of Aragon Queen of France has father James I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert III of Scotland has successor James I of Scotland, James I of Scotland has father Robert III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles II Archduke of Austria, Margaret of Austria Queen of Spain has father Charles II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Maria of Austria Holy Roman Empress has father Charles V Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor has successor Philip II of Spain, Philip II of Spain has father Charles V Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Odoardo Farnese Hereditary Prince of Parma, Elisabeth Farnese has father Odoardo Farnese Hereditary Prince of Parma The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Henry Count of Portugal has father Henry son of Robert I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Odo I Duke of Burgundy has father Henry son of Robert I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Gerard de Bouzonville, Gerard Duke of Lorraine has father Gerard de Bouzonville The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Vladislaus II of Hungary, Anne of Bohemia and Hungary has father Vladislaus II of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Martel has successor Pepin the Short, Pepin the Short has father Charles Martel The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Alfonso IX of Le n has successor Ferdinand III of Castile, Ferdinand III of Castile has father Alfonso IX of Le n The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Peter I Duke of Bourbon, Joanna of Bourbon has father Peter I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles III Duke of Lorraine, Francis II Duke of Lorraine has father Charles III Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover has successor George I of Great Britain, George I of Great Britain has father Ernest Augustus Elector of Hanover The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Robert Count of Clermont, Louis I Duke of Bourbon has father Robert Count of Clermont The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William X Duke of Aquitaine has father William IX Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Antoine of Navarre, Henry IV of France has father Antoine of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Richard Woodville 1st Earl Rivers, Elizabeth Woodville has father Richard Woodville 1st Earl Rivers The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert V Duke of Bavaria, Maria Anna of Bavaria born 1551 has father Albert V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Peter I Duke of Brittany has successor John I Duke of Brittany, John I Duke of Brittany has father Peter I Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Gaston de Foix Count of Candale, Anne of Foix Candale has father Gaston de Foix Count of Candale The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip William Elector Palatine, Countess Palatine Dorothea Sophie of Neuburg has father Philip William Elector Palatine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Joseph I Holy Roman Emperor, Maria Josepha of Austria has father Joseph I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Maria of Aragon Queen of Portugal has father Ferdinand II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has father Leopold Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick II Duke of Mecklenburg Strelitz has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis II Duke of Bavaria, Louis IV Holy Roman Emperor has father Louis II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
