Rule 9:
If parent ?b, then predecessor ?b.
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has parent  lisabeth Charlotte d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has parent Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Jeanne d Albret, Jeanne d Albret has parent Henry II of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Martel has predecessor Pepin of Herstal, Charles Martel has parent Pepin of Herstal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Denis of Portugal has predecessor Afonso III of Portugal, Denis of Portugal has parent Afonso III of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Rudolph of France, Rudolph of France has parent Adelaide of Auxerre born c. 870 The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has parent Constance of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has parent Louis Jean Marie de Bourbon Duke of Penthi vre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Theresa of Savoy has parent Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Jos phine of Savoy, Marie Jos phine of Savoy has parent Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VI of France, Louis VI of France has parent Philip I of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has parent Louise of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Louise of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II of France, Philip II of France has parent Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf Count of Holland has predecessor Dirk II Count of Holland, Arnulf Count of Holland has parent Dirk II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Eckhard I Count of Scheyern, Eckhard I Count of Scheyern has parent Otto I Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Silesia, Beatrice of Silesia has parent Bolko I the Strict The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has parent Marie de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XIII, Louis XIII has parent Marie de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta Maria has parent Marie de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Conrad I of Burgundy has predecessor Rudolph II of Burgundy, Conrad I of Burgundy has parent Rudolph II of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
John I Duke of Brittany has predecessor Peter I Duke of Brittany, John I Duke of Brittany has parent Peter I Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Louis Bonaparte, Louis Bonaparte has parent Letizia Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Napoleon, Napoleon has parent Letizia Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Theobald II Count of Champagne has parent Adela of Normandy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Constance of Arles, Constance of Arles has parent William I of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Richard Count of  tampes, Richard Count of  tampes has parent John IV Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabeau of Bavaria, Isabeau of Bavaria has parent Taddea Visconti The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise of Lorraine, Louise of Lorraine has parent Nicolas Duke of Merc ur The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Middle Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has parent Anna of Nassau Dillenburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mary Tudor Queen of France, Mary Tudor Queen of France has parent Henry VII of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph II of Burgundy has parent Guilla of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Baldwin II Count of Hainaut, Baldwin II Count of Hainaut has parent Richilde Countess of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has parent Henry the Lion The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gerard Duke of Lorraine, Gerard Duke of Lorraine has parent Gerard de Bouzonville The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eug nie de Montijo, Eug nie de Montijo has parent Mar a Manuela Kirkpatrick de Grevign e The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise  lisabeth of France, Louise  lisabeth of France has parent Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has parent Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy, Hugh III Duke of Burgundy has parent Odo II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
William VIII Duke of Aquitaine, William VIII Duke of Aquitaine has parent William V Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry IV of England, Henry IV of England has parent Blanche of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen III Duke of Bavaria, Stephen III Duke of Bavaria has parent Elisabeth of Sicily Duchess of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Bavaria, Louis I Duke of Bavaria has parent Otto I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Baux, Margaret of Baux has parent Francis of Baux The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Robert II Duke of Burgundy has parent Yolande of Dreux Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has parent Yolande of Dreux Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter of Courtenay Lord of Conches, Peter of Courtenay Lord of Conches has parent Robert of Courtenay Lord of Champignelles The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Emma of Italy, Emma of Italy has parent Lothair II of Italy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has parent Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has parent Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh Capet, Hugh Capet has parent Hugh the Great The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward III of England, Edward III of England has parent Isabella of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VIII of France, Louis VIII of France has parent Isabella of Hainault The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I of Castile, John I of Castile has parent Juana Manuel The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has parent Janus of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of the Palatinate, Margaret of the Palatinate has parent Elisabeth of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has parent Vladislaus II of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto IV Count of Burgundy, Otto IV Count of Burgundy has parent Hugh Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Fat has predecessor Louis the German, Charles the Fat has parent Louis the German The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Prince Philippe Count of Paris, Prince Philippe Count of Paris has parent Duchess Helene of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has parent John Stewart 1st Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maud FitzJohn Countess of Warwick, Maud FitzJohn Countess of Warwick has parent John Fitzgeoffrey The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330, Elizabeth of Bohemia 1292 1330 has parent Wenceslaus II of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has parent Elisabeth of Carinthia Queen of the Romans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Giovanni delle Bande Nere, Giovanni delle Bande Nere has parent Giovanni il Popolano The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile, Ferdinand II of Le n has parent Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Constance of Castile, Constance of Castile has parent Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho III of Castile has predecessor Alfonso VII of Le n and Castile, Sancho III of Castile has parent Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
George III, George III has parent Princess Augusta of Saxe Gotha The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Baldwin III Count of Flanders, Baldwin III Count of Flanders has parent Arnulf I Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XVIII, Louis XVIII has parent Maria Josepha of Saxony Dauphine of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles X, Charles X has parent Maria Josepha of Saxony Dauphine of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Austria has parent Wilhelmine Amalie of Brunswick The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolf II Count of Habsburg, Rudolf II Count of Habsburg has parent Albert III Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Elizabeth of Austria 1436 1505 has parent Elizabeth of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Bertha of Burgundy, Bertha of Burgundy has parent Conrad I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis II of Anjou has predecessor Louis I of Anjou, Louis II of Anjou has parent Louis I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Elizabeth Woodville, Elizabeth Woodville has parent Richard Woodville 1st Earl Rivers The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has parent Sophia Eleonore of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter II of Aragon, Peter II of Aragon has parent Sancha of Castile Queen of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso II Count of Provence, Alfonso II Count of Provence has parent Sancha of Castile Queen of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XVI, Louis XVI has parent Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles X, Charles X has parent Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has parent Margaret Stewart Lady Gordon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has parent Margaret of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has parent Margaret of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho I of Portugal has predecessor Afonso I of Portugal, Sancho I of Portugal has parent Afonso I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Edward the Elder has predecessor Alfred the Great, Edward the Elder has parent Alfred the Great The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Alfonso II of Aragon has predecessor Petronilla of Aragon, Alfonso II of Aragon has parent Petronilla of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Adelaide of Maurienne, Adelaide of Maurienne has parent Gisela of Burgundy Marchioness of Montferrat The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Poppa of Bayeux, Poppa of Bayeux has parent Berengar II of Neustria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry II Count of Louvain, Henry II Count of Louvain has parent Lambert II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has parent Agnes of Burgundy Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Bourbon, Isabella of Bourbon has parent Agnes of Burgundy Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Luisa of Parma, Maria Luisa of Parma has parent Philip Duke of Parma The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has parent Magnus I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maud Chaworth, Maud Chaworth has parent Isabella de Beauchamp The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hildegard of the Vinzgau, Hildegard of the Vinzgau has parent Gerold of Vinzgau The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has parent Augustus III of Poland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Claude of France, Claude of France has parent Louis XII The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne Gonzaga, Anne Gonzaga has parent Charles I Gonzaga Duke of Mantua The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Reginar III Count of Hainaut, Reginar III Count of Hainaut has parent Adelaide of Burgundy born c. 896 The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Louis I Duke of Bourbon has parent Robert Count of Clermont The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has parent John II of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Sophia of Minsk The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Maria Anna of Bavaria born 1551 has parent Albert V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has parent Edward III of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ecgberht King of Wessex, Ecgberht King of Wessex has parent Ealhmund of Kent The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Henry son of Robert I of Burgundy has parent Robert I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has parent Urraca of Le n The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh of Italy, Hugh of Italy has parent Theobald of Arles The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has parent Francesco III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has parent Mar a Isabella of Spain The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Flanders Duchess of Brabant has parent Matilda of B thune The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has parent Hugh of Tours The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella de Beauchamp, Isabella de Beauchamp has parent Maud FitzJohn Countess of Warwick The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Silesia, Beatrice of Silesia has parent Beatrice of Brandenburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
George I of Great Britain, George I of Great Britain has parent Ernest Augustus Elector of Hanover The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Th r se of France, Marie Th r se of France has parent Marie Antoinette The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Martel, Charles Martel has parent Alpaida The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Luisa of Parma, Maria Luisa of Parma has parent Louise  lisabeth of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto II Duke of Bavaria, Otto II Duke of Bavaria has parent Louis I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso I of Portugal has predecessor Theresa Countess of Portugal, Afonso I of Portugal has parent Theresa Countess of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Pierfrancesco the Elder, Pierfrancesco the Elder has parent Lorenzo the Elder The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has parent Francis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Fowler, Henry the Fowler has parent Otto I Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Lancaster, Eleanor of Lancaster has parent Henry 3rd Earl of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I Count of La Marche, John I Count of La Marche has parent James I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has parent Maria Christina of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Flanders Duchess of Brabant has parent Guy Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has parent Bonne of Berry The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Portugal, Isabella of Portugal has parent Maria of Aragon Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II of Spain, Philip II of Spain has parent Isabella of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has parent Isabella of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II of France, Philip II of France has parent Adela of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I Duke of Lorraine, Francis I Duke of Lorraine has parent Ren e of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has parent Ren e of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has parent Yolande of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has parent Yolande of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has parent Victor Amadeus I Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, Princess Augusta of Saxe Gotha has parent Frederick II Duke of Saxe Gotha Altenburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Philip II Duke of Savoy has parent Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charlotte of Savoy, Charlotte of Savoy has parent Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide Blanche of Anjou, Adelaide Blanche of Anjou has parent Fulk II Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Violant of Hungary, Violant of Hungary has parent Yolanda of Courtenay The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I Duke of Lorraine, John I Duke of Lorraine has parent Marie de Ch tillon 1323 1363 The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has parent Blanche of Artois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Charles V Duke of Lorraine has parent Claude Fran oise de Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Clemence of Austria, Clemence of Austria has parent Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has parent Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James V of Scotland, James V of Scotland has parent Margaret Tudor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II of Scotland, Robert II of Scotland has parent Walter Stewart 6th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick, Wilhelmine Amalie of Brunswick has parent Benedicta Henrietta of the Palatinate The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has parent Peter I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Portugal died 1381, Beatrice of Portugal died 1381 has parent Peter I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John Count of Chalon, John Count of Chalon has parent Stephen III of Auxonne The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Frederick II Count of Vaud mont, Frederick II Count of Vaud mont has parent Antoine Count of Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Margaret Countess of Anjou has parent Mary of Hungary Queen of Naples The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I Count of Hainaut, John I Count of Hainaut has parent Bouchard IV of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter I of Portugal, Peter I of Portugal has parent Beatrice of Castile 1293 1359 The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has parent Magdalene of Brandenburg 1412 1454 The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan I of Navarre has predecessor Henry I of Navarre, Joan I of Navarre has parent Henry I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Willa of Burgundy, Willa of Burgundy has parent Rudolph I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has parent Maria Carolina of Austria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen III Duke of Bavaria, Stephen III Duke of Bavaria has parent Stephen II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alice Holland Countess of Kent, Alice Holland Countess of Kent has parent Eleanor of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Lorenzo the Elder, Lorenzo the Elder has parent Giovanni di Bicci de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
