Rule 27:
If successor ?b, then child ?b.
Emmanuel Philibert Duke of Savoy has child Charles Emmanuel I Duke of Savoy, Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor Albert I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Vladimir the Great, Vladimir the Great has successor Sviatopolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry III of France, Henry III of France has successor Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Jeanne d Albret has child Henry IV of France, Jeanne d Albret has successor Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Albert II of Germany, Albert II of Germany has successor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ernest Duke of Austria, Ernest Duke of Austria has successor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Beorhtric of Wessex, Beorhtric of Wessex has successor Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Baldred of Kent, Baldred of Kent has successor Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alessandro de Medici Duke of Florence, Alessandro de Medici Duke of Florence has successor Cosimo I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Wulfoald, Wulfoald has successor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alfonso IX of Le n has child Ferdinand III of Castile, Alfonso IX of Le n has successor Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles IV of France, Charles IV of France has successor Philip III of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has successor Robert I Latin Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Humbert II Count of Savoy, Humbert II Count of Savoy has successor Amadeus III Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Lothair of France, Lothair of France has successor Louis V of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.5100
- Rule Classification: POSITIVE (PCA Confidence 0.5100 >= threshold 0.5)
- Standard Confidence: 0.3588
- Head Coverage: 0.0842
