Rule 22:
If father ?b, then parent ?b.
Blanche of Castile has parent Alfonso VIII of Castile, Blanche of Castile has father Alfonso VIII of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hugh of Italy has parent Theobald of Arles, Hugh of Italy has father Theobald of Arles The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip I of Castile has parent Maximilian I Holy Roman Emperor, Philip I of Castile has father Maximilian I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry II of Castile has parent Alfonso XI of Castile, Henry II of Castile has father Alfonso XI of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry II of France has parent Francis I of France, Henry II of France has father Francis I of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John of Gaunt has parent Edward III of England, John of Gaunt has father Edward III of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John of Montfort has parent Arthur II Duke of Brittany, John of Montfort has father Arthur II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Simon I Duke of Lorraine has parent Theodoric II Duke of Lorraine, Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Antoinette has parent Francis I Holy Roman Emperor, Marie Antoinette has father Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Carolina of Austria has parent Francis I Holy Roman Emperor, Maria Carolina of Austria has father Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand Karl Archduke of Austria Este has parent Francis I Holy Roman Emperor, Ferdinand Karl Archduke of Austria Este has father Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor, Leopold II Holy Roman Emperor has father Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Catherine of Valois, Catherine of Valois has father Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has father Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Eleanor of Provence has parent Ramon Berenguer IV Count of Provence, Eleanor of Provence has father Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Provence has parent Ramon Berenguer IV Count of Provence, Margaret of Provence has father Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy has parent Odo III Duke of Burgundy, Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hugh II Duke of Burgundy has parent Odo I Duke of Burgundy, Hugh II Duke of Burgundy has father Odo I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy has parent Victor Amadeus I Duke of Savoy, Charles Emmanuel II Duke of Savoy has father Victor Amadeus I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Denis of Portugal has parent Afonso III of Portugal, Denis of Portugal has father Afonso III of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Odo III Duke of Burgundy, Odo III Duke of Burgundy has father Hugh III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Alfonso II of Aragon, Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
 thelwulf King of Wessex has parent Ecgberht King of Wessex,  thelwulf King of Wessex has father Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis II Holy Roman Emperor has parent Leopold II Holy Roman Emperor, Francis II Holy Roman Emperor has father Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis VI of France has parent Philip I of France, Louis VI of France has father Philip I of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sancho III of Castile has parent Alfonso VII of Le n and Castile, Sancho III of Castile has father Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Constance of Castile has parent Alfonso VII of Le n and Castile, Constance of Castile has father Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand II of Le n has parent Alfonso VII of Le n and Castile, Ferdinand II of Le n has father Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip II Duke of Savoy has parent Louis Duke of Savoy, Philip II Duke of Savoy has father Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charlotte of Savoy has parent Louis Duke of Savoy, Charlotte of Savoy has father Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bona of Savoy, Bona of Savoy has father Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has father Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Elisabeth of Nuremberg has parent Frederick V Burgrave of Nuremberg, Elisabeth of Nuremberg has father Frederick V Burgrave of Nuremberg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon has parent John II of Aragon, Ferdinand II of Aragon has father John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of Aragon Queen of Portugal has parent Ferdinand I of Aragon, Eleanor of Aragon Queen of Portugal has father Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John II of Aragon, John II of Aragon has father Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Antoinette of Bourbon, Antoinette of Bourbon has father Francis Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles Duke of Vend me has parent Francis Count of Vend me, Charles Duke of Vend me has father Francis Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Pepin of Herstal has parent Ansegisel, Pepin of Herstal has father Ansegisel The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alfonso IX of Le n has parent Ferdinand II of Le n, Alfonso IX of Le n has father Ferdinand II of Le n The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sophia of Minsk, Sophia of Minsk has father Volodar Glebovich Prince of Minsk The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has father Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Adelaide of Maurienne has parent Humbert II Count of Savoy, Adelaide of Maurienne has father Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick IV Duke of Lorraine, Frederick IV Duke of Lorraine has father Theobald II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Antoine of Navarre has parent Charles Duke of Vend me, Antoine of Navarre has father Charles Duke of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I Duke of Lorraine has parent Rudolph Duke of Lorraine, John I Duke of Lorraine has father Rudolph Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Philippe I Duke of Orl ans has parent Louis Duke of Orl ans 1703 1752, Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles III Duke of Lorraine, Charles III Duke of Lorraine has father Francis I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Eleanor of Alburquerque has parent Sancho Alfonso, Eleanor of Alburquerque has father Sancho Alfonso The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ingegerd Olofsdotter of Sweden has parent Olof Sk tkonung, Ingegerd Olofsdotter of Sweden has father Olof Sk tkonung The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Richard Count of  tampes has parent John IV Duke of Brittany, Richard Count of  tampes has father John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Afonso IV of Portugal has parent Denis of Portugal, Afonso IV of Portugal has father Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louise  lisabeth of France has parent Louis XV, Louise  lisabeth of France has father Louis XV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles the Fat has parent Louis the German, Charles the Fat has father Louis the German The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charlotte Agla  d Orl ans has parent Philippe II Duke of Orl ans, Charlotte Agla  d Orl ans has father Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has parent Philippe II Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Yolande of Aragon has parent John I of Aragon, Yolande of Aragon has father John I of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Yaroslav the Wise has parent Vladimir the Great, Yaroslav the Wise has father Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Agnes of France Duchess of Burgundy has parent Louis IX of France, Agnes of France Duchess of Burgundy has father Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip III of France has parent Louis IX of France, Philip III of France has father Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert Count of Clermont has parent Louis IX of France, Robert Count of Clermont has father Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of Lancaster has parent Henry 3rd Earl of Lancaster, Eleanor of Lancaster has father Henry 3rd Earl of Lancaster The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Igor of Kiev has parent Rurik, Igor of Kiev has father Rurik The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Clementia of Hungary has parent Charles Martel of Anjou, Clementia of Hungary has father Charles Martel of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sancho I of Portugal has parent Afonso I of Portugal, Sancho I of Portugal has father Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bertrade of Montfort has parent Simon I de Montfort, Bertrade of Montfort has father Simon I de Montfort The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan the Lame, Joan the Lame has father Robert II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret of Burgundy Queen of France, Margaret of Burgundy Queen of France has father Robert II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Odo IV Duke of Burgundy has parent Robert II Duke of Burgundy, Odo IV Duke of Burgundy has father Robert II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon, Ferdinand I of Aragon has father John I of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has parent Alfonso II Count of Provence, Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Teresa Felicitas d Este has parent Francesco III d Este Duke of Modena, Maria Teresa Felicitas d Este has father Francesco III d Este Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has father Francis I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Maria Christina of the Two Sicilies has parent Francis I of the Two Sicilies, Maria Christina of the Two Sicilies has father Francis I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Rozala of Italy has parent Berengar II of Italy, Rozala of Italy has father Berengar II of Italy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Countess Palatine Caroline of Zweibr cken has parent Christian III Count Palatine of Zweibr cken, Countess Palatine Caroline of Zweibr cken has father Christian III Count Palatine of Zweibr cken The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I of Portugal has parent Peter I of Portugal, John I of Portugal has father Peter I of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Vladimir the Great has parent Sviatoslav I, Vladimir the Great has father Sviatoslav I The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has father Francis II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Fran oise Marie de Bourbon has parent Louis XIV, Fran oise Marie de Bourbon has father Louis XIV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XIV has parent Louis XIV, Louis Dauphin of France son of Louis XIV has father Louis XIV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert II of Scotland has parent Walter Stewart 6th High Steward of Scotland, Robert II of Scotland has father Walter Stewart 6th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hortense de Beauharnais has parent Alexandre de Beauharnais, Hortense de Beauharnais has father Alexandre de Beauharnais The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan of  vreux has parent Louis Count of  vreux, Joan of  vreux has father Louis Count of  vreux The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip III of Navarre, Philip III of Navarre has father Louis Count of  vreux The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry VI Count of Luxembourg, Henry VI Count of Luxembourg has father Henry V Count of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Constance of Arles has parent William I of Provence, Constance of Arles has father William I of Provence The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James IV of Scotland has parent James III of Scotland, James IV of Scotland has father James III of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis the Pious has parent Charlemagne, Louis the Pious has father Charlemagne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mary Tudor Queen of France has parent Henry VII of England, Mary Tudor Queen of France has father Henry VII of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Theobald I of Navarre has parent Theobald III Count of Champagne, Theobald I of Navarre has father Theobald III Count of Champagne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of Castile, Eleanor of Castile has father Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has father Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover has parent George Duke of Brunswic Calenberg, Ernest Augustus Elector of Hanover has father George Duke of Brunswic Calenberg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has parent Charles II of Naples, Margaret Countess of Anjou has father Charles II of Naples The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis XIII has parent Henry IV of France, Louis XIII has father Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henrietta Maria has parent Henry IV of France, Henrietta Maria has father Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Elisabeth of France 1602 1644 has parent Henry IV of France, Elisabeth of France 1602 1644 has father Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Princess Louise of Hesse Darmstadt 1757 1830 has parent Louis IX Landgrave of Hesse Darmstadt, Princess Louise of Hesse Darmstadt 1757 1830 has father Louis IX Landgrave of Hesse Darmstadt The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles Martel has parent Pepin of Herstal, Charles Martel has father Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has parent Giovanni delle Bande Nere, Cosimo I de Medici Grand Duke of Tuscany has father Giovanni delle Bande Nere The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Rudolph Duke of Lorraine has parent Frederick IV Duke of Lorraine, Rudolph Duke of Lorraine has father Frederick IV Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans, Philippe I Duke of Orl ans has father Louis XIII The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis XIV has parent Louis XIII, Louis XIV has father Louis XIII The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has parent Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has father Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne Marie d Orl ans, Anne Marie d Orl ans has father Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis I Duke of Orl ans has parent Charles V of France, Louis I Duke of Orl ans has father Charles V of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis IV Duke of Modena, Francis IV Duke of Modena has father Ferdinand Karl Archduke of Austria Este The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Sancho IV of Castile has parent Alfonso X of Castile, Sancho IV of Castile has father Alfonso X of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Clemence of Austria has parent Rudolf I of Germany, Clemence of Austria has father Rudolf I of Germany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Judith of Habsburg, Judith of Habsburg has father Rudolf I of Germany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Albert I of Germany has parent Rudolf I of Germany, Albert I of Germany has father Rudolf I of Germany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has father Stephen V of Hungary The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330 has parent Wenceslaus II of Bohemia, Elizabeth of Bohemia 1292 1330 has father Wenceslaus II of Bohemia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of England Queen of Castile has parent Henry II of England, Eleanor of England Queen of Castile has father Henry II of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mary Queen of Scots has parent James V of Scotland, Mary Queen of Scots has father James V of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louise of Savoy, Louise of Savoy has father Philip II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles III Duke of Savoy, Charles III Duke of Savoy has father Philip II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Yolanda of Courtenay has parent Peter II of Courtenay, Yolanda of Courtenay has father Peter II of Courtenay The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Blanche of Artois, Blanche of Artois has father Robert I Count of Artois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Isabella of Portugal has parent Manuel I of Portugal, Isabella of Portugal has father Manuel I of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John II of Portugal has parent Afonso V of Portugal, John II of Portugal has father Afonso V of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor has parent Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ermengarde of Hesbaye has parent Ingerman Count of Hesbaye, Ermengarde of Hesbaye has father Ingerman Count of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Theodoric II Duke of Lorraine has parent Gerard Duke of Lorraine, Theodoric II Duke of Lorraine has father Gerard Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Violant of Hungary, Violant of Hungary has father Andrew II of Hungary The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry Stuart Lord Darnley has parent Matthew Stewart 4th Earl of Lennox, Henry Stuart Lord Darnley has father Matthew Stewart 4th Earl of Lennox The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eadgifu of Wessex has parent Edward the Elder, Eadgifu of Wessex has father Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mar a Isabella of Spain, Mar a Isabella of Spain has father Charles IV of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has parent Charles Emmanuel II Duke of Savoy, Victor Amadeus II of Sardinia has father Charles Emmanuel II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Beatrice of Silesia has parent Bolko I the Strict, Beatrice of Silesia has father Bolko I the Strict The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand IV of Castile, Ferdinand IV of Castile has father Sancho IV of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick has parent John Frederick Duke of Brunswic Calenberg, Wilhelmine Amalie of Brunswick has father John Frederick Duke of Brunswic Calenberg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Beatrice of Savoy has parent Thomas Count of Savoy, Beatrice of Savoy has father Thomas Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ren  II Duke of Lorraine has parent Frederick II Count of Vaud mont, Ren  II Duke of Lorraine has father Frederick II Count of Vaud mont The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sviatoslav I has parent Igor of Kiev, Sviatoslav I has father Igor of Kiev The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Arnulf Count of Holland has parent Dirk II Count of Holland, Arnulf Count of Holland has father Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of the Palatinate has parent Rupert King of the Romans, Margaret of the Palatinate has father Rupert King of the Romans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans has parent Antoine Duke of Montpensier, Princess Marie Isabelle of Orl ans has father Antoine Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Elizabeth of Austria 1436 1505 has parent Albert II of Germany, Elizabeth of Austria 1436 1505 has father Albert II of Germany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adelaide of Tours has parent Hugh of Tours, Adelaide of Tours has father Hugh of Tours The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has parent Burkhard V Count of Hohenberg, Gertrude of Hohenberg has father Burkhard V Count of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Brieg has parent Louis I of Brzeg, Margaret of Brieg has father Louis I of Brzeg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has parent Amadeus VIII Duke of Savoy, Louis Duke of Savoy has father Amadeus VIII Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sibylla of Anjou has parent Fulk King of Jerusalem, Sibylla of Anjou has father Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem, Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has parent Cosimo I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has father Augustus III of Poland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Maria Amalia of Saxony has parent Augustus III of Poland, Maria Amalia of Saxony has father Augustus III of Poland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Isabella of France has parent Philip IV of France, Isabella of France has father Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ermentrude of Orl ans has parent Odo I Count of Orl ans, Ermentrude of Orl ans has father Odo I Count of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Princess Elisabeth Albertine of Saxe Hildburghausen has parent Ernest Frederick I Duke of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has father Ernest Frederick I Duke of Saxe Hildburghausen The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
