Rule 18:
If successor ?a, then parent ?b.
Albert I Duke of Brunswic L neburg has parent Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor Albert I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Sviatopolk I of Kiev, Vladimir the Great has successor Sviatopolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry IV of France, Henry III of France has successor Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry IV of France has parent Jeanne d Albret, Jeanne d Albret has successor Henry IV of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor, Albert II of Germany has successor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has parent Ernest Duke of Austria, Ernest Duke of Austria has successor Frederick III Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex, Beorhtric of Wessex has successor Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ecgberht King of Wessex, Baldred of Kent has successor Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Alessandro de Medici Duke of Florence has successor Cosimo I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Pepin of Herstal, Wulfoald has successor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand III of Castile, Alfonso IX of Le n has successor Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip III of Navarre, Charles IV of France has successor Philip III of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Robert I Latin Emperor, Yolanda Latin Empress has successor Robert I Latin Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Duke of Savoy has parent Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Amadeus III Count of Savoy, Humbert II Count of Savoy has successor Amadeus III Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis V of France, Lothair of France has successor Louis V of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.5280
- Rule Classification: POSITIVE (PCA Confidence 0.5280 >= threshold 0.5)
- Standard Confidence: 0.3192
- Head Coverage: 0.1195
