Rule 28:
If parent ?a, then child ?b.
Francis I Holy Roman Emperor has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Archduchess Maria Clementina of Austria has child Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has parent Archduchess Maria Clementina of Austria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adalbert I of Ivrea, Berengar II of Italy has parent Adalbert I of Ivrea The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Agnes de Baudemont Countess of Braine, Robert II Count of Dreux has parent Agnes de Baudemont Countess of Braine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
 lfthryth Countess of Flanders, Arnulf I Count of Flanders has parent  lfthryth Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ingeborg of Kiev, Valdemar I of Denmark has parent Ingeborg of Kiev The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sigismund Holy Roman Emperor, Elizabeth of Luxembourg has parent Sigismund Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Olof Sk tkonung, Ingegerd Olofsdotter of Sweden has parent Olof Sk tkonung The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alys of France Countess of Vexin has child Marie Countess of Ponthieu, Marie Countess of Ponthieu has parent Alys of France Countess of Vexin The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Alexander Stewart 4th High Steward of Scotland, James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Amicie de Courtenay, Mahaut Countess of Artois has parent Amicie de Courtenay The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
 lisabeth Charlotte d Orl ans, Francis I Holy Roman Emperor has parent  lisabeth Charlotte d Orl ans The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has parent Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II of Navarre, Jeanne d Albret has parent Henry II of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Pepin of Herstal has child Charles Martel, Charles Martel has parent Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Afonso III of Portugal has child Denis of Portugal, Denis of Portugal has parent Afonso III of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adelaide of Auxerre born c. 870, Rudolph of France has parent Adelaide of Auxerre born c. 870 The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Constance of Portugal, Alfonso XI of Castile has parent Constance of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Jean Marie de Bourbon Duke of Penthi vre, Louise Marie Ad la de de Bourbon Duchess of Orl ans has parent Louis Jean Marie de Bourbon Duke of Penthi vre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has child Maria Theresa of Savoy, Maria Theresa of Savoy has parent Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has child Marie Jos phine of Savoy, Marie Jos phine of Savoy has parent Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of France, Louis VI of France has parent Philip I of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louise of Savoy has child Francis I of France, Francis I of France has parent Louise of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louise of Savoy has child Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Louise of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis VII of France, Philip II of France has parent Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis VII of France has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Dirk II Count of Holland has child Arnulf Count of Holland, Arnulf Count of Holland has parent Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Otto I Count of Scheyern, Eckhard I Count of Scheyern has parent Otto I Count of Scheyern The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Bolko I the Strict, Beatrice of Silesia has parent Bolko I the Strict The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie de Medici has child Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has parent Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie de Medici has child Louis XIII, Louis XIII has parent Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie de Medici has child Henrietta Maria, Henrietta Maria has parent Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy has child Conrad I of Burgundy, Conrad I of Burgundy has parent Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Peter I Duke of Brittany has child John I Duke of Brittany, John I Duke of Brittany has parent Peter I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Letizia Bonaparte has child Louis Bonaparte, Louis Bonaparte has parent Letizia Bonaparte The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Letizia Bonaparte has child Napoleon, Napoleon has parent Letizia Bonaparte The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adela of Normandy, Theobald II Count of Champagne has parent Adela of Normandy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I of Provence, Constance of Arles has parent William I of Provence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John IV Duke of Brittany has child Richard Count of  tampes, Richard Count of  tampes has parent John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Taddea Visconti, Isabeau of Bavaria has parent Taddea Visconti The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Louise of Lorraine has parent Nicolas Duke of Merc ur The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anna of Nassau Dillenburg, Henry the Middle Duke of Brunswic L neburg has parent Anna of Nassau Dillenburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry VII of England has child Mary Tudor Queen of France, Mary Tudor Queen of France has parent Henry VII of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Guilla of Provence, Rudolph II of Burgundy has parent Guilla of Provence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richilde Countess of Hainaut, Baldwin II Count of Hainaut has parent Richilde Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry the Lion has child William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has parent Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gerard de Bouzonville, Gerard Duke of Lorraine has parent Gerard de Bouzonville The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Mar a Manuela Kirkpatrick de Grevign e, Eug nie de Montijo has parent Mar a Manuela Kirkpatrick de Grevign e The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis XV has child Louise  lisabeth of France, Louise  lisabeth of France has parent Louis XV The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis XV has child Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has parent Louis XV The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Odo II Duke of Burgundy has child Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has parent Odo II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
William V Duke of Aquitaine, William VIII Duke of Aquitaine has parent William V Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Blanche of Lancaster, Henry IV of England has parent Blanche of Lancaster The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Elisabeth of Sicily Duchess of Bavaria, Stephen III Duke of Bavaria has parent Elisabeth of Sicily Duchess of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria, Louis I Duke of Bavaria has parent Otto I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis of Baux, Margaret of Baux has parent Francis of Baux The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Robert II Duke of Burgundy has parent Yolande of Dreux Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Adelaide of Burgundy Duchess of Brabant has parent Yolande of Dreux Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert of Courtenay Lord of Champignelles, Peter of Courtenay Lord of Conches has parent Robert of Courtenay Lord of Champignelles The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Lothair II of Italy has child Emma of Italy, Emma of Italy has parent Lothair II of Italy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has parent Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick II Duke of Mecklenburg Strelitz has parent Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hugh the Great, Hugh Capet has parent Hugh the Great The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Isabella of France has child Edward III of England, Edward III of England has parent Isabella of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabella of Hainault has child Louis VIII of France, Louis VIII of France has parent Isabella of Hainault The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Juana Manuel, John I of Castile has parent Juana Manuel The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Janus of Cyprus, Anne of Cyprus has parent Janus of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Elisabeth of Nuremberg has child Margaret of the Palatinate, Margaret of the Palatinate has parent Elisabeth of Nuremberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Vladislaus II of Hungary, Anne of Bohemia and Hungary has parent Vladislaus II of Hungary The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hugh Count of Burgundy, Otto IV Count of Burgundy has parent Hugh Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis the German has child Charles the Fat, Charles the Fat has parent Louis the German The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Duchess Helene of Mecklenburg Schwerin has child Prince Philippe Count of Paris, Prince Philippe Count of Paris has parent Duchess Helene of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John Stewart 1st Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has parent John Stewart 1st Earl of Lennox The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John Fitzgeoffrey, Maud FitzJohn Countess of Warwick has parent John Fitzgeoffrey The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Wenceslaus II of Bohemia, Elizabeth of Bohemia 1292 1330 has parent Wenceslaus II of Bohemia The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Elisabeth of Carinthia Queen of the Romans, Albert II Duke of Austria has parent Elisabeth of Carinthia Queen of the Romans The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Giovanni il Popolano, Giovanni delle Bande Nere has parent Giovanni il Popolano The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has child Ferdinand II of Le n, Ferdinand II of Le n has parent Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Constance of Castile, Constance of Castile has parent Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Sancho III of Castile, Sancho III of Castile has parent Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Princess Augusta of Saxe Gotha, George III has parent Princess Augusta of Saxe Gotha The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Arnulf I Count of Flanders, Baldwin III Count of Flanders has parent Arnulf I Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Louis XVIII has parent Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France has child Charles X, Charles X has parent Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Wilhelmine Amalie of Brunswick, Maria Josepha of Austria has parent Wilhelmine Amalie of Brunswick The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Albert III Count of Habsburg, Rudolf II Count of Habsburg has parent Albert III Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Austria 1436 1505 has parent Elizabeth of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Conrad I of Burgundy has child Bertha of Burgundy, Bertha of Burgundy has parent Conrad I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis I of Anjou has child Louis II of Anjou, Louis II of Anjou has parent Louis I of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Richard Woodville 1st Earl Rivers, Elizabeth Woodville has parent Richard Woodville 1st Earl Rivers The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sophia Eleonore of Saxony has child Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has parent Sophia Eleonore of Saxony The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Sancha of Castile Queen of Aragon, Peter II of Aragon has parent Sancha of Castile Queen of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sancha of Castile Queen of Aragon, Alfonso II Count of Provence has parent Sancha of Castile Queen of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV has child Louis XVI, Louis XVI has parent Louis Dauphin of France son of Louis XV The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XV has child Charles X, Charles X has parent Louis Dauphin of France son of Louis XV The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret Stewart Lady Gordon, George Gordon 4th Earl of Huntly has parent Margaret Stewart Lady Gordon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret of Brabant, John of Bohemia has parent Margaret of Brabant The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret of Brabant has child Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has parent Margaret of Brabant The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Afonso I of Portugal, Sancho I of Portugal has parent Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfred the Great has child Edward the Elder, Edward the Elder has parent Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Petronilla of Aragon, Alfonso II of Aragon has parent Petronilla of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gisela of Burgundy Marchioness of Montferrat, Adelaide of Maurienne has parent Gisela of Burgundy Marchioness of Montferrat The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Berengar II of Neustria, Poppa of Bayeux has parent Berengar II of Neustria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Lambert II Count of Louvain, Henry II Count of Louvain has parent Lambert II Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon has child Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has parent Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Agnes of Burgundy Duchess of Bourbon, Isabella of Bourbon has parent Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip Duke of Parma, Maria Luisa of Parma has parent Philip Duke of Parma The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Magnus I Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has parent Magnus I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Isabella de Beauchamp, Maud Chaworth has parent Isabella de Beauchamp The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gerold of Vinzgau, Hildegard of the Vinzgau has parent Gerold of Vinzgau The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Augustus III of Poland, Maria Amalia of Saxony has parent Augustus III of Poland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis XII has child Claude of France, Claude of France has parent Louis XII The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Charles I Gonzaga Duke of Mantua, Anne Gonzaga has parent Charles I Gonzaga Duke of Mantua The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adelaide of Burgundy born c. 896, Reginar III Count of Hainaut has parent Adelaide of Burgundy born c. 896 The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert Count of Clermont has child Louis I Duke of Bourbon, Louis I Duke of Bourbon has parent Robert Count of Clermont The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John II of Castile, Isabella I of Castile has parent John II of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sophia of Minsk, Ingeborg of Denmark Queen of France has parent Sophia of Minsk The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Albert V Duke of Bavaria, Maria Anna of Bavaria born 1551 has parent Albert V Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Edward III of England, John of Gaunt has parent Edward III of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ealhmund of Kent, Ecgberht King of Wessex has parent Ealhmund of Kent The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert I Duke of Burgundy, Henry son of Robert I of Burgundy has parent Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Urraca of Le n, Alfonso VII of Le n and Castile has parent Urraca of Le n The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Theobald of Arles, Hugh of Italy has parent Theobald of Arles The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francesco III d Este Duke of Modena, Maria Teresa Felicitas d Este has parent Francesco III d Este Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Mar a Isabella of Spain has child Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has parent Mar a Isabella of Spain The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Matilda of B thune, Margaret of Flanders Duchess of Brabant has parent Matilda of B thune The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hugh of Tours, Adelaide of Tours has parent Hugh of Tours The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maud FitzJohn Countess of Warwick, Isabella de Beauchamp has parent Maud FitzJohn Countess of Warwick The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Beatrice of Brandenburg, Beatrice of Silesia has parent Beatrice of Brandenburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover has child George I of Great Britain, George I of Great Britain has parent Ernest Augustus Elector of Hanover The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie Antoinette, Marie Th r se of France has parent Marie Antoinette The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alpaida has child Charles Martel, Charles Martel has parent Alpaida The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louise  lisabeth of France has child Maria Luisa of Parma, Maria Luisa of Parma has parent Louise  lisabeth of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis I Duke of Bavaria, Otto II Duke of Bavaria has parent Louis I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Theresa Countess of Portugal, Afonso I of Portugal has parent Theresa Countess of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Lorenzo the Elder, Pierfrancesco the Elder has parent Lorenzo the Elder The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis Count of Vend me, Charles Duke of Vend me has parent Francis Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto I Duke of Saxony, Henry the Fowler has parent Otto I Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry 3rd Earl of Lancaster, Eleanor of Lancaster has parent Henry 3rd Earl of Lancaster The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
James I Count of La Marche has child John I Count of La Marche, John I Count of La Marche has parent James I Count of La Marche The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Christina of the Two Sicilies has child Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has parent Maria Christina of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Guy Count of Flanders, Margaret of Flanders Duchess of Brabant has parent Guy Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Bonne of Berry, Amadeus VIII Duke of Savoy has parent Bonne of Berry The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal has child Isabella of Portugal, Isabella of Portugal has parent Maria of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabella of Portugal, Philip II of Spain has parent Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Isabella of Portugal has child Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has parent Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adela of Champagne has child Philip II of France, Philip II of France has parent Adela of Champagne The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ren e of Bourbon, Francis I Duke of Lorraine has parent Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ren e of Bourbon, Nicolas Duke of Merc ur has parent Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Aragon, Marie of Anjou has parent Yolande of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Aragon has child Ren  of Anjou, Ren  of Anjou has parent Yolande of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy has child Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has parent Victor Amadeus I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Frederick II Duke of Saxe Gotha Altenburg, Princess Augusta of Saxe Gotha has parent Frederick II Duke of Saxe Gotha Altenburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Duke of Savoy has child Philip II Duke of Savoy, Philip II Duke of Savoy has parent Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has child Charlotte of Savoy, Charlotte of Savoy has parent Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Fulk II Count of Anjou, Adelaide Blanche of Anjou has parent Fulk II Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolanda of Courtenay has child Violant of Hungary, Violant of Hungary has parent Yolanda of Courtenay The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie de Ch tillon 1323 1363, John I Duke of Lorraine has parent Marie de Ch tillon 1323 1363 The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Blanche of Artois has child Joan I of Navarre, Joan I of Navarre has parent Blanche of Artois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
