Rule 10:
If father ?b, then predecessor ?b.
Antoinette of Bourbon, Antoinette of Bourbon has father Francis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has father Francis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Pepin of Herstal, Pepin of Herstal has father Ansegisel The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alfonso IX of Le n has predecessor Ferdinand II of Le n, Alfonso IX of Le n has father Ferdinand II of Le n The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Sophia of Minsk, Sophia of Minsk has father Volodar Glebovich Prince of Minsk The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis IX of France has predecessor Louis VIII of France, Louis IX of France has father Louis VIII of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Adelaide of Maurienne, Adelaide of Maurienne has father Humbert II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Frederick IV Duke of Lorraine, Frederick IV Duke of Lorraine has father Theobald II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Antoine of Navarre, Antoine of Navarre has father Charles Duke of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I Duke of Lorraine, John I Duke of Lorraine has father Rudolph Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has predecessor Louis Duke of Orl ans 1703 1752, Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752 The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine, Charles III Duke of Lorraine has father Francis I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Eleanor of Alburquerque, Eleanor of Alburquerque has father Sancho Alfonso The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Ingegerd Olofsdotter of Sweden has father Olof Sk tkonung The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Richard Count of  tampes, Richard Count of  tampes has father John IV Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Afonso IV of Portugal has predecessor Denis of Portugal, Afonso IV of Portugal has father Denis of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louise  lisabeth of France, Louise  lisabeth of France has father Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles the Fat has predecessor Louis the German, Charles the Fat has father Louis the German The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has father Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Yolande of Aragon, Yolande of Aragon has father John I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has father Vladimir the Great The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip III of France has predecessor Louis IX of France, Philip III of France has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Robert Count of Clermont, Robert Count of Clermont has father Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eleanor of Lancaster, Eleanor of Lancaster has father Henry 3rd Earl of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Igor of Kiev, Igor of Kiev has father Rurik The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Clementia of Hungary, Clementia of Hungary has father Charles Martel of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sancho I of Portugal has predecessor Afonso I of Portugal, Sancho I of Portugal has father Afonso I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Bertrade of Montfort, Bertrade of Montfort has father Simon I de Montfort The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan the Lame, Joan the Lame has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Burgundy Queen of France, Margaret of Burgundy Queen of France has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has father Robert II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has father John I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence, Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has father Francesco III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has father Francis I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has father Francis I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rozala of Italy, Rozala of Italy has father Berengar II of Italy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Countess Palatine Caroline of Zweibr cken has father Christian III Count Palatine of Zweibr cken The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has father Peter I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Vladimir the Great has predecessor Sviatoslav I, Vladimir the Great has father Sviatoslav I The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has father Francis II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Fran oise Marie de Bourbon has father Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV, Louis Dauphin of France son of Louis XIV has father Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert II of Scotland, Robert II of Scotland has father Walter Stewart 6th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hortense de Beauharnais, Hortense de Beauharnais has father Alexandre de Beauharnais The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan of  vreux, Joan of  vreux has father Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has father Louis Count of  vreux The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg, Henry VI Count of Luxembourg has father Henry V Count of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Constance of Arles, Constance of Arles has father William I of Provence The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James IV of Scotland, James IV of Scotland has father James III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis the Pious has predecessor Charlemagne, Louis the Pious has father Charlemagne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Mary Tudor Queen of France, Mary Tudor Queen of France has father Henry VII of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theobald I of Navarre, Theobald I of Navarre has father Theobald III Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eleanor of Castile, Eleanor of Castile has father Ferdinand III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alfonso X of Castile has predecessor Ferdinand III of Castile, Alfonso X of Castile has father Ferdinand III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has father George Duke of Brunswic Calenberg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Margaret Countess of Anjou has father Charles II of Naples The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis XIII, Louis XIII has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta Maria has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has father Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830, Princess Louise of Hesse Darmstadt 1757 1830 has father Louis IX Landgrave of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles Martel has predecessor Pepin of Herstal, Charles Martel has father Pepin of Herstal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has father Giovanni delle Bande Nere The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rudolph Duke of Lorraine, Rudolph Duke of Lorraine has father Frederick IV Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe I Duke of Orl ans has father Louis XIII The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis XIV, Louis XIV has father Louis XIII The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has father Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Anne Marie d Orl ans, Anne Marie d Orl ans has father Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Louis I Duke of Orl ans has father Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has father Ferdinand Karl Archduke of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sancho IV of Castile has predecessor Alfonso X of Castile, Sancho IV of Castile has father Alfonso X of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Clemence of Austria, Clemence of Austria has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Judith of Habsburg, Judith of Habsburg has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has father Rudolf I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has father Stephen V of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330, Elizabeth of Bohemia 1292 1330 has father Wenceslaus II of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has father Henry II of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Mary Queen of Scots has predecessor James V of Scotland, Mary Queen of Scots has father James V of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louise of Savoy, Louise of Savoy has father Philip II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles III Duke of Savoy, Charles III Duke of Savoy has father Philip II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Yolanda of Courtenay, Yolanda of Courtenay has father Peter II of Courtenay The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Blanche of Artois, Blanche of Artois has father Robert I Count of Artois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of Portugal, Isabella of Portugal has father Manuel I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John II of Portugal has predecessor Afonso V of Portugal, John II of Portugal has father Afonso V of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ermengarde of Hesbaye, Ermengarde of Hesbaye has father Ingerman Count of Hesbaye The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has father Gerard Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Violant of Hungary, Violant of Hungary has father Andrew II of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry Stuart Lord Darnley, Henry Stuart Lord Darnley has father Matthew Stewart 4th Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eadgifu of Wessex, Eadgifu of Wessex has father Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Mar a Isabella of Spain, Mar a Isabella of Spain has father Charles IV of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has father Charles Emmanuel II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatrice of Silesia, Beatrice of Silesia has father Bolko I the Strict The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand IV of Castile has predecessor Sancho IV of Castile, Ferdinand IV of Castile has father Sancho IV of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Wilhelmine Amalie of Brunswick, Wilhelmine Amalie of Brunswick has father John Frederick Duke of Brunswic Calenberg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatrice of Savoy, Beatrice of Savoy has father Thomas Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has father Frederick II Count of Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sviatoslav I, Sviatoslav I has father Igor of Kiev The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Arnulf Count of Holland has predecessor Dirk II Count of Holland, Arnulf Count of Holland has father Dirk II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Margaret of the Palatinate, Margaret of the Palatinate has father Rupert King of the Romans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has father Antoine Duke of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Elizabeth of Austria 1436 1505 has father Albert II of Germany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has father Hugh of Tours The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Gertrude of Hohenberg has father Burkhard V Count of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has father Louis I of Brzeg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy, Louis Duke of Savoy has father Amadeus VIII Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Sibylla of Anjou, Sibylla of Anjou has father Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem, Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has father Augustus III of Poland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has father Augustus III of Poland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of France, Isabella of France has father Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ermentrude of Orl ans, Ermentrude of Orl ans has father Odo I Count of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Princess Elisabeth Albertine of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has father Ernest Frederick I Duke of Saxe Hildburghausen The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie Ad la de of Savoy, Marie Ad la de of Savoy has father Victor Amadeus II of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia, Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has father Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Berengar II of Italy, Berengar II of Italy has father Adalbert I of Ivrea The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alfonso VIII of Castile has predecessor Sancho III of Castile, Alfonso VIII of Castile has father Sancho III of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Joan I Countess of Auvergne has predecessor William XII Count of Auvergne, Joan I Countess of Auvergne has father William XII Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Saint Margaret of Scotland, Saint Margaret of Scotland has father Edward the Exile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John II of France has predecessor Philip VI of France, John II of France has father Philip VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Albert II Duke of Austria, Albert II Duke of Austria has father Albert I of Germany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has father Peter I Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Peter II of Aragon has predecessor Alfonso II of Aragon, Peter II of Aragon has father Alfonso II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis XI, Louis XI has father Charles VII of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bertha of Holland, Bertha of Holland has father Floris I Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Violant of Bar, Violant of Bar has father Robert Duke of Bar The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine, Francis I Duke of Lorraine has father Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has father Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has father Louis Jean Marie de Bourbon Duke of Penthi vre The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip II of France, Philip II of France has father Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Alys of France Countess of Vexin has father Louis VII of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Luxembourg has father Sigismund Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has father Frederick II Margrave of Meissen The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of Hainault, Isabella of Hainault has father Baldwin V Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has father John of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of Aragon Queen of France, Isabella of Aragon Queen of France has father James I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James I of Scotland has predecessor Robert III of Scotland, James I of Scotland has father Robert III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Margaret of Austria Queen of Spain, Margaret of Austria Queen of Spain has father Charles II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has father Charles V Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip II of Spain has predecessor Charles V Holy Roman Emperor, Philip II of Spain has father Charles V Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Elisabeth Farnese, Elisabeth Farnese has father Odoardo Farnese Hereditary Prince of Parma The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry Count of Portugal, Henry Count of Portugal has father Henry son of Robert I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo I Duke of Burgundy, Odo I Duke of Burgundy has father Henry son of Robert I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gerard Duke of Lorraine, Gerard Duke of Lorraine has father Gerard de Bouzonville The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has father Vladislaus II of Hungary The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Pepin the Short has predecessor Charles Martel, Pepin the Short has father Charles Martel The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ferdinand III of Castile has predecessor Alfonso IX of Le n, Ferdinand III of Castile has father Alfonso IX of Le n The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Joanna of Bourbon, Joanna of Bourbon has father Peter I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis II Duke of Lorraine, Francis II Duke of Lorraine has father Charles III Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
George I of Great Britain, George I of Great Britain has father Ernest Augustus Elector of Hanover The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Louis I Duke of Bourbon has father Robert Count of Clermont The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William X Duke of Aquitaine, William X Duke of Aquitaine has father William IX Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has father Antoine of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has father Richard Woodville 1st Earl Rivers The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Maria Anna of Bavaria born 1551 has father Albert V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I Duke of Brittany has predecessor Peter I Duke of Brittany, John I Duke of Brittany has father Peter I Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Anne of Foix Candale, Anne of Foix Candale has father Gaston de Foix Count of Candale The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg, Countess Palatine Dorothea Sophie of Neuburg has father Philip William Elector Palatine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Maria Josepha of Austria, Maria Josepha of Austria has father Joseph I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has father Ferdinand II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
