Rule 25:
If mother ?a, then child ?b.
 lfthryth Countess of Flanders, Arnulf I Count of Flanders has mother  lfthryth Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elizabeth the Cuman has child Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has mother Elizabeth the Cuman The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Beatrice of Vermandois, Hugh the Great has mother Beatrice of Vermandois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg has child Elisabeth Farnese, Elisabeth Farnese has mother Countess Palatine Dorothea Sophie of Neuburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Emma of Blois, William V Duke of Aquitaine has mother Emma of Blois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Countess Amalia Katharina of Waldeck, Countess Sophia Albertine of Erbach Erbach has mother Countess Amalia Katharina of Waldeck The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret Tudor, James V of Scotland has mother Margaret Tudor The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Taddea Visconti, Isabeau of Bavaria has mother Taddea Visconti The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of B thune, Margaret of Flanders Duchess of Brabant has mother Matilda of B thune The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Burgundy Duchess of Brabant, Marie of Brabant Queen of France has mother Adelaide of Burgundy Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elisabeth of Meissen has child Elisabeth of Nuremberg, Elisabeth of Nuremberg has mother Elisabeth of Meissen The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Alys of France Countess of Vexin has child Marie Countess of Ponthieu, Marie Countess of Ponthieu has mother Alys of France Countess of Vexin The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Mar a Isabella of Spain has child Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has mother Mar a Isabella of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret III Countess of Flanders, John the Fearless has mother Margaret III Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bertha Duchess of Lorraine, Frederick I Duke of Lorraine has mother Bertha Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Boulogne Duchess of Brabant, Henry II Duke of Brabant has mother Matilda of Boulogne Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ludmilla of Bohemia, Otto II Duke of Bavaria has mother Ludmilla of Bohemia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Leuven, Matthias I Duke of Lorraine has mother Adelaide of Leuven The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Navarre has child Catherine of Foix Countess of Candale, Catherine of Foix Countess of Candale has mother Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Navarre has child Margaret of Foix, Margaret of Foix has mother Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Hedwig of Babenberg, Henry the Fowler has mother Hedwig of Babenberg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mahaut Countess of Artois, Blanche of Burgundy has mother Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt has child Countess Palatine Dorothea Sophie of Neuburg, Countess Palatine Dorothea Sophie of Neuburg has mother Landgravine Elisabeth Amalie of Hesse Darmstadt The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Juana Enr quez, Ferdinand II of Aragon has mother Juana Enr quez The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Almodis de la Marche, Ramon Berenguer II Count of Barcelona has mother Almodis de la Marche The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Christine of France, Charles Emmanuel II Duke of Savoy has mother Christine of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermentrude de Roucy, Reginald I Count of Burgundy has mother Ermentrude de Roucy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ansgarde of Burgundy, Louis III of France has mother Ansgarde of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Blanche of Artois has child Joan I of Navarre, Joan I of Navarre has mother Blanche of Artois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Yolande Duchess of Lorraine, Ren  II Duke of Lorraine has mother Yolande Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Catalina Micaela of Spain, Victor Amadeus I Duke of Savoy has mother Catalina Micaela of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Paris has child Charles the Simple, Charles the Simple has mother Adelaide of Paris The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Antoinette of Bourbon has child Mary of Guise, Mary of Guise has mother Antoinette of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
A nor de Ch tellerault, Eleanor of Aquitaine has mother A nor de Ch tellerault The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Burgundy, Philip I of Castile has mother Mary of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elizabeth of Portugal, Afonso IV of Portugal has mother Elizabeth of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Burgundy Queen of France has child Joan II of Navarre, Joan II of Navarre has mother Margaret of Burgundy Queen of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Philippa of Hainault, John of Gaunt has mother Philippa of Hainault The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Sophia Dorothea of Celle, George II of Great Britain has mother Sophia Dorothea of Celle The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eilika of Schweinfurt, Gertrude of Saxony has mother Eilika of Schweinfurt The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Princess Magdalena Augusta of Anhalt Zerbst, Princess Augusta of Saxe Gotha has mother Princess Magdalena Augusta of Anhalt Zerbst The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Sophia of Holstei Gottorp, Adolphus Frederick I Duke of Mecklenburg Schwerin has mother Sophia of Holstei Gottorp The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Charlotte Agla  d Orl ans, Maria Teresa Felicitas d Este has mother Charlotte Agla  d Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ogive of Luxembourg, Baldwin V Count of Flanders has mother Ogive of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Aquitaine, William VIII Duke of Aquitaine has mother Agnes of Burgundy Duchess of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Louise  lisabeth of France has child Maria Luisa of Parma, Maria Luisa of Parma has mother Louise  lisabeth of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth of Swabia, Alfonso X of Castile has mother Elisabeth of Swabia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Madeleine de La Tour d Auvergne, Catherine de Medici has mother Madeleine de La Tour d Auvergne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Geneva, Beatrice of Savoy has mother Margaret of Geneva The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Judith of Flanders, Baldwin II Margrave of Flanders has mother Judith of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Marie Eleonore of Cleves has mother Maria of Austria Duchess of J lich Cleves Berg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joan the Lame has child John II of France, John II of France has mother Joan the Lame The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elizabeth of York has child Mary Tudor Queen of France, Mary Tudor Queen of France has mother Elizabeth of York The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Princess Elisabeth Albertine of Saxe Hildburghausen has child Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has mother Princess Elisabeth Albertine of Saxe Hildburghausen The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Mar a Manuela Kirkpatrick de Grevign e, Eug nie de Montijo has mother Mar a Manuela Kirkpatrick de Grevign e The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Hedwig of Saxony has child Hugh Capet, Hugh Capet has mother Hedwig of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
In s de Castro, Beatrice of Portugal died 1381 has mother In s de Castro The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elisabeth of France 1602 1644 has child Maria Theresa of Spain, Maria Theresa of Spain has mother Elisabeth of France 1602 1644 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan of Navarre Queen of England, Richard Count of  tampes has mother Joan of Navarre Queen of England The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Princess Christine Louise of Oettinge Oettingen has child Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has mother Princess Christine Louise of Oettinge Oettingen The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan of Valois Countess of Hainaut, Philippa of Hainault has mother Joan of Valois Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ida Countess of Hainaut, Baldwin III Count of Hainaut has mother Ida Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie Eleonore of Cleves has child Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has mother Marie Eleonore of Cleves The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Matilda of France has child Bertha of Burgundy, Bertha of Burgundy has mother Matilda of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Countess Palatine Caroline of Zweibr cken has child Princess Louise of Hesse Darmstadt 1757 1830, Princess Louise of Hesse Darmstadt 1757 1830 has mother Countess Palatine Caroline of Zweibr cken The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Ermesinde of Carcassonne, Berenguer Ramon I Count of Barcelona has mother Ermesinde of Carcassonne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal has child Isabella of Portugal, Isabella of Portugal has mother Maria of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie of Luxembourg Countess of Vend me, Charles Duke of Vend me has mother Marie of Luxembourg Countess of Vend me The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Hungary Queen of Naples has child Margaret Countess of Anjou, Margaret Countess of Anjou has mother Mary of Hungary Queen of Naples The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Adelaide of Tours has child Odo of France, Odo of France has mother Adelaide of Tours The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella de Beauchamp, Maud Chaworth has mother Isabella de Beauchamp The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Adelaide of Burgundy Duchess of Brabant has mother Yolande of Dreux Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Jeanne d Albret has child Henry IV of France, Henry IV of France has mother Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joanna of Pfirt, Leopold III Duke of Austria has mother Joanna of Pfirt The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bianca Maria Visconti, Galeazzo Maria Sforza has mother Bianca Maria Visconti The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret II Countess of Flanders, John I Count of Hainaut has mother Margaret II Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Polyxena of Hesse Rotenburg, Victor Amadeus III of Sardinia has mother Polyxena of Hesse Rotenburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabella of Portugal Duchess of Burgundy, Charles the Bold has mother Isabella of Portugal Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bertrade of Montfort has child Fulk King of Jerusalem, Fulk King of Jerusalem has mother Bertrade of Montfort The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret Countess of Vertus, Francis II Duke of Brittany has mother Margaret Countess of Vertus The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Bavaria Margravine of Meissen, Elisabeth of Meissen has mother Matilda of Bavaria Margravine of Meissen The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Luisa of Parma, Mar a Isabella of Spain has mother Maria Luisa of Parma The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Willa of Burgundy has child Willa of Tuscany, Willa of Tuscany has mother Willa of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabelle de Beauvau, Jeanne de Bourbon Duchess of Bourbon has mother Isabelle de Beauvau The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Richeza of Poland Queen of Sweden has child Sophia of Minsk, Sophia of Minsk has mother Richeza of Poland Queen of Sweden The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Cymburgis of Masovia, Frederick III Holy Roman Emperor has mother Cymburgis of Masovia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Aquitaine has child Robert II of France, Robert II of France has mother Adelaide of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of England Queen of Castile has child Blanche of Castile, Blanche of Castile has mother Eleanor of England Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Adela of Champagne has child Philip II of France, Philip II of France has mother Adela of Champagne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Garsenda Countess of Forcalquier, Ramon Berenguer IV Count of Provence has mother Garsenda Countess of Forcalquier The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin has child Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has mother Anna Maria of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Sophia of Brandenburg, Magnus II Duke of Brunswic L neburg has mother Sophia of Brandenburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Alice of Namur, Baldwin V Count of Hainaut has mother Alice of Namur The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.6335
- Rule Classification: POSITIVE (PCA Confidence 0.6335 >= threshold 0.5)
- Standard Confidence: 0.3897
- Head Coverage: 0.1054
