Rule 11:
If successor ?a, then predecessor ?b.
Joan Countess of Ponthieu has predecessor Simon Count of Ponthieu, Simon Count of Ponthieu has successor Joan Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
French Revolution of 1848 has predecessor Prince Philippe Count of Paris, Prince Philippe Count of Paris has successor French Revolution of 1848. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
French Revolution of 1848, Louis Philippe I has successor French Revolution of 1848. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Gian Galeazzo Sforza has predecessor Galeazzo Maria Sforza, Galeazzo Maria Sforza has successor Gian Galeazzo Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Piero di Cosimo de Medici has predecessor Cosimo de Medici, Cosimo de Medici has successor Piero di Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry VIII has predecessor Henry VII of England, Henry VII of England has successor Henry VIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John VIII Count of Vend me has predecessor Louis Count of Vend me, Louis Count of Vend me has successor John VIII Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis III of France has predecessor Louis the Stammerer, Louis the Stammerer has successor Louis III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Ferdinand II of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor has predecessor Maria Theresa, Maria Theresa has successor Charles VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles IV of Spain has predecessor Charles III of Spain, Charles III of Spain has successor Charles IV of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Prince Philippe Count of Paris has predecessor Henri Count of Chambord, Henri Count of Chambord has successor Prince Philippe Count of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Simon I de Montfort, Amaury I de Montfort has successor Simon I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Yolanda Latin Empress has predecessor Peter II of Courtenay, Peter II of Courtenay has successor Yolanda Latin Empress. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip III of France has predecessor Louis IX of France, Louis IX of France has successor Philip III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry I of Castile, Alfonso VIII of Castile has successor Henry I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis the German has predecessor Louis the Pious, Louis the Pious has successor Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert II of Scotland has predecessor David II of Scotland, David II of Scotland has successor Robert II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has predecessor Henri Jules Prince of Cond , Henri Jules Prince of Cond  has successor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem, Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou has predecessor Stephen King of England, Stephen King of England has successor Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis I of the Two Sicilies has predecessor Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has successor Francis I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Odo IV Duke of Burgundy has predecessor Hugh V Duke of Burgundy, Hugh V Duke of Burgundy has successor Odo IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis III Duke of Brittany, Claude of France has successor Francis III Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles V of France has predecessor John II of France, John II of France has successor Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Beatrice of Provence has predecessor Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has successor Beatrice of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Prince Ferdinand Duke of Montpensier has predecessor Antoine Duke of Montpensier, Antoine Duke of Montpensier has successor Prince Ferdinand Duke of Montpensier. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Theudoald has predecessor Pepin of Herstal, Pepin of Herstal has successor Theudoald. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Theobald I Duke of Lorraine has predecessor Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has successor Theobald I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry II of England has predecessor Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has successor Henry II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry II of England, Stephen King of England has successor Henry II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has predecessor Robert II Count of Artois, Robert II Count of Artois has successor Mahaut Countess of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Arthur II Duke of Brittany has predecessor John II Duke of Brittany, John II Duke of Brittany has successor Arthur II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand VI of Spain has predecessor Philip V of Spain, Philip V of Spain has successor Ferdinand VI of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles the Simple, Odo of France has successor Charles the Simple. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Peter III of Aragon has predecessor James I of Aragon, James I of Aragon has successor Peter III of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joan I of Navarre has predecessor Henry I of Navarre, Henry I of Navarre has successor Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Rudolph III of Burgundy has predecessor Conrad I of Burgundy, Conrad I of Burgundy has successor Rudolph III of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Fulk IV Count of Anjou has predecessor Geoffrey III Count of Anjou, Geoffrey III Count of Anjou has successor Fulk IV Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Adolphus Frederick III Duke of Mecklenburg Strelitz has predecessor Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Claude of France, Anne of Brittany has successor Claude of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Denis of Portugal has predecessor Afonso III of Portugal, Afonso III of Portugal has successor Denis of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis II of France has predecessor Henry II of France, Henry II of France has successor Francis II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Willa of Tuscany has predecessor Adelaide of Italy, Adelaide of Italy has successor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Willa of Tuscany has predecessor Ermengarde of Tuscany, Ermengarde of Tuscany has successor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy, Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor Albert I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Sviatopolk I of Kiev has predecessor Vladimir the Great, Vladimir the Great has successor Sviatopolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry IV of France, Henry III of France has successor Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henry IV of France has predecessor Jeanne d Albret, Jeanne d Albret has successor Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor, Albert II of Germany has successor Frederick III Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has predecessor Ernest Duke of Austria, Ernest Duke of Austria has successor Frederick III Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex has predecessor Beorhtric of Wessex, Beorhtric of Wessex has successor Ecgberht King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex has predecessor Baldred of Kent, Baldred of Kent has successor Ecgberht King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has predecessor Alessandro de Medici Duke of Florence, Alessandro de Medici Duke of Florence has successor Cosimo I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Pepin of Herstal has predecessor Wulfoald, Wulfoald has successor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand III of Castile has predecessor Alfonso IX of Le n, Alfonso IX of Le n has successor Ferdinand III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip III of Navarre has predecessor Charles IV of France, Charles IV of France has successor Philip III of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert I Latin Emperor has predecessor Yolanda Latin Empress, Yolanda Latin Empress has successor Robert I Latin Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Amadeus III Count of Savoy has predecessor Humbert II Count of Savoy, Humbert II Count of Savoy has successor Amadeus III Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis V of France has predecessor Lothair of France, Lothair of France has successor Louis V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes

Rule Statistics:
- PCA Confidence: 0.9371
- Rule Classification: POSITIVE (PCA Confidence 0.9371 >= threshold 0.5)
- Standard Confidence: 0.7571
- Head Coverage: 0.7486
