Rule 15:
If successor ?a, then father ?b.
Prince Ferdinand Duke of Montpensier, Antoine Duke of Montpensier has successor Prince Ferdinand Duke of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Theudoald, Pepin of Herstal has successor Theudoald. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Theobald I Duke of Lorraine, Frederick II Duke of Lorraine has successor Theobald I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry II of England, Geoffrey Plantagenet Count of Anjou has successor Henry II of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry II of England, Stephen King of England has successor Henry II of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Mahaut Countess of Artois has father Robert II Count of Artois, Robert II Count of Artois has successor Mahaut Countess of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Arthur II Duke of Brittany, John II Duke of Brittany has successor Arthur II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand VI of Spain, Philip V of Spain has successor Ferdinand VI of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles the Simple, Odo of France has successor Charles the Simple. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Peter III of Aragon, James I of Aragon has successor Peter III of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan I of Navarre, Henry I of Navarre has successor Joan I of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Rudolph III of Burgundy, Conrad I of Burgundy has successor Rudolph III of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Fulk IV Count of Anjou, Geoffrey III Count of Anjou has successor Fulk IV Count of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Claude of France, Anne of Brittany has successor Claude of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Denis of Portugal has father Afonso III of Portugal, Afonso III of Portugal has successor Denis of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Francis II of France has father Henry II of France, Henry II of France has successor Francis II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Willa of Tuscany, Adelaide of Italy has successor Willa of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Willa of Tuscany, Ermengarde of Tuscany has successor Willa of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Albert I Duke of Brunswic L neburg has father Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor Albert I Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Sviatopolk I of Kiev, Vladimir the Great has successor Sviatopolk I of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry IV of France, Henry III of France has successor Henry IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry IV of France, Jeanne d Albret has successor Henry IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Albert II of Germany has successor Frederick III Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has father Ernest Duke of Austria, Ernest Duke of Austria has successor Frederick III Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ecgberht King of Wessex, Beorhtric of Wessex has successor Ecgberht King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ecgberht King of Wessex, Baldred of Kent has successor Ecgberht King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Alessandro de Medici Duke of Florence has successor Cosimo I de Medici Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Pepin of Herstal, Wulfoald has successor Pepin of Herstal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand III of Castile has father Alfonso IX of Le n, Alfonso IX of Le n has successor Ferdinand III of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip III of Navarre, Charles IV of France has successor Philip III of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Robert I Latin Emperor, Yolanda Latin Empress has successor Robert I Latin Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Duke of Savoy has father Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Amadeus III Count of Savoy, Humbert II Count of Savoy has successor Amadeus III Count of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis V of France has father Lothair of France, Lothair of France has successor Louis V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes

Rule Statistics:
- PCA Confidence: 0.4928
- Rule Classification: NEGATIVE (PCA Confidence 0.4928 < threshold 0.5)
- Standard Confidence: 0.2881
- Head Coverage: 0.1818
