Rule 14:
If predecessor ?b, then father ?b.
Odo II Duke of Burgundy has father Hugh II Duke of Burgundy, Odo II Duke of Burgundy has predecessor Hugh II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Liutgard of Saxony died 885, Liutgard of Saxony died 885 has predecessor Hemma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis II of Anjou has father Louis I of Anjou, Louis II of Anjou has predecessor Louis I of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip I of France, Philip I of France has predecessor Henry I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Galeazzo Maria Sforza has father Francesco I Sforza, Galeazzo Maria Sforza has predecessor Francesco I Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Rudolph II of Burgundy has predecessor Berengar I of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has predecessor Francis II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Willa of Burgundy, Willa of Burgundy has predecessor Marozia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles Emmanuel IV of Sardinia, Charles Emmanuel IV of Sardinia has predecessor Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Ladislaus the Posthumous. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has predecessor Henry I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso V of Aragon, Alfonso V of Aragon has predecessor Ferdinand I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Simon Count of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Oleg of Novgorod, Oleg of Novgorod has predecessor Rurik. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has predecessor Agnes de Baudemont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has predecessor Peter II of Courtenay. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor, Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has predecessor John Frederick Duke of Brunswic Calenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Antoine Duke of Lorraine, Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Bold has father Philip the Good, Charles the Bold has predecessor Philip the Good. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Berengar II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Renata of Lorraine, Renata of Lorraine has predecessor Archduchess Anna of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Valdemar I of Denmark, Valdemar I of Denmark has predecessor Sweyn III of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert III of Scotland, Robert III of Scotland has predecessor Robert II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Fulk IV Count of Anjou, Fulk IV Count of Anjou has predecessor Geoffrey III Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Antoine of Navarre, Antoine of Navarre has predecessor Henry II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Peter of Castile, Peter of Castile has predecessor Alfonso XI of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry Count of Portugal, Henry Count of Portugal has predecessor Raymond of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has father Robert II Count of Artois, Mahaut Countess of Artois has predecessor Robert II Count of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles IV Holy Roman Emperor, Charles IV Holy Roman Emperor has predecessor John of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VIII, Henry VIII has predecessor Henry VII of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
George II of Great Britain has father George I of Great Britain, George II of Great Britain has predecessor George I of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Amadeus III Count of Savoy, Amadeus III Count of Savoy has predecessor Humbert II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XV, Louis XV has predecessor Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo I Duke of Burgundy, Odo I Duke of Burgundy has predecessor Hugh I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Gian Galeazzo Sforza, Gian Galeazzo Sforza has predecessor Galeazzo Maria Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Arnulf Count of Holland has father Dirk II Count of Holland, Arnulf Count of Holland has predecessor Dirk II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has predecessor Conrad IV of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XVIII, Louis XVIII has predecessor Louis XVII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has predecessor Rudolph of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Berengar II of Italy, Berengar II of Italy has predecessor Lothair II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Adolf King of the Romans, Adolf King of the Romans has predecessor Rudolf I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.5121
- Rule Classification: POSITIVE (PCA Confidence 0.5121 >= threshold 0.5)
- Standard Confidence: 0.2961
- Head Coverage: 0.1889
