Rule 26:
If father ?a, then child ?b.
Charles VI of France has child Catherine of Valois, Catherine of Valois has father Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles VI of France, Charles VII of France has father Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has child Eleanor of Provence, Eleanor of Provence has father Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Margaret of Provence, Margaret of Provence has father Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Odo III Duke of Burgundy has child Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Odo I Duke of Burgundy has child Hugh II Duke of Burgundy, Hugh II Duke of Burgundy has father Odo I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy has child Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has father Victor Amadeus I Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Afonso III of Portugal has child Denis of Portugal, Denis of Portugal has father Afonso III of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Hugh III Duke of Burgundy, Odo III Duke of Burgundy has father Hugh III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona, Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ecgberht King of Wessex has child  thelwulf King of Wessex,  thelwulf King of Wessex has father Ecgberht King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor has child Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has father Leopold II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip I of France, Louis VI of France has father Philip I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has child Sancho III of Castile, Sancho III of Castile has father Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Constance of Castile, Constance of Castile has father Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Ferdinand II of Le n, Ferdinand II of Le n has father Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has child Philip II Duke of Savoy, Philip II Duke of Savoy has father Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has child Charlotte of Savoy, Charlotte of Savoy has father Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has child Bona of Savoy, Bona of Savoy has father Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Duke of Savoy has child Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has father Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Frederick V Burgrave of Nuremberg, Elisabeth of Nuremberg has father Frederick V Burgrave of Nuremberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John II of Aragon has child Ferdinand II of Aragon, Ferdinand II of Aragon has father John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon has child Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has father Ferdinand I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon has child John II of Aragon, John II of Aragon has father Ferdinand I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis Count of Vend me, Antoinette of Bourbon has father Francis Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis Count of Vend me, Charles Duke of Vend me has father Francis Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ansegisel, Pepin of Herstal has father Ansegisel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand II of Le n has child Alfonso IX of Le n, Alfonso IX of Le n has father Ferdinand II of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Volodar Glebovich Prince of Minsk, Sophia of Minsk has father Volodar Glebovich Prince of Minsk. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis VIII of France, Louis IX of France has father Louis VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Humbert II Count of Savoy, Adelaide of Maurienne has father Humbert II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald II Duke of Lorraine has child Frederick IV Duke of Lorraine, Frederick IV Duke of Lorraine has father Theobald II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles Duke of Vend me has child Antoine of Navarre, Antoine of Navarre has father Charles Duke of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rudolph Duke of Lorraine has child John I Duke of Lorraine, John I Duke of Lorraine has father Rudolph Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has child Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I Duke of Lorraine has child Charles III Duke of Lorraine, Charles III Duke of Lorraine has father Francis I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Sancho Alfonso, Eleanor of Alburquerque has father Sancho Alfonso. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Olof Sk tkonung, Ingegerd Olofsdotter of Sweden has father Olof Sk tkonung. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John IV Duke of Brittany has child Richard Count of  tampes, Richard Count of  tampes has father John IV Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Denis of Portugal has child Afonso IV of Portugal, Afonso IV of Portugal has father Denis of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis XV has child Louise  lisabeth of France, Louise  lisabeth of France has father Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis the German has child Charles the Fat, Charles the Fat has father Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has child Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has father Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John I of Aragon, Yolande of Aragon has father John I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Vladimir the Great, Yaroslav the Wise has father Vladimir the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis IX of France has child Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has father Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis IX of France has child Philip III of France, Philip III of France has father Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis IX of France has child Robert Count of Clermont, Robert Count of Clermont has father Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry 3rd Earl of Lancaster, Eleanor of Lancaster has father Henry 3rd Earl of Lancaster. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Rurik has child Igor of Kiev, Igor of Kiev has father Rurik. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles Martel of Anjou, Clementia of Hungary has father Charles Martel of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Afonso I of Portugal, Sancho I of Portugal has father Afonso I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Simon I de Montfort, Bertrade of Montfort has father Simon I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert II Duke of Burgundy has child Joan the Lame, Joan the Lame has father Robert II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert II Duke of Burgundy has child Margaret of Burgundy Queen of France, Margaret of Burgundy Queen of France has father Robert II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert II Duke of Burgundy has child Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has father Robert II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John I of Castile has child Ferdinand I of Aragon, Ferdinand I of Aragon has father John I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francesco III d Este Duke of Modena, Maria Teresa Felicitas d Este has father Francesco III d Este Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis I of the Two Sicilies, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has father Francis I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis I of the Two Sicilies, Maria Christina of the Two Sicilies has father Francis I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Berengar II of Italy has child Rozala of Italy, Rozala of Italy has father Berengar II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Christian III Count Palatine of Zweibr cken, Countess Palatine Caroline of Zweibr cken has father Christian III Count Palatine of Zweibr cken. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Peter I of Portugal has child John I of Portugal, John I of Portugal has father Peter I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Sviatoslav I has child Vladimir the Great, Vladimir the Great has father Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis II Holy Roman Emperor has child Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has father Francis II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis XIV has child Fran oise Marie de Bourbon, Fran oise Marie de Bourbon has father Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis XIV has child Louis Dauphin of France son of Louis XIV, Louis Dauphin of France son of Louis XIV has father Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Walter Stewart 6th High Steward of Scotland, Robert II of Scotland has father Walter Stewart 6th High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alexandre de Beauharnais, Hortense de Beauharnais has father Alexandre de Beauharnais. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Count of  vreux has child Joan of  vreux, Joan of  vreux has father Louis Count of  vreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Count of  vreux has child Philip III of Navarre, Philip III of Navarre has father Louis Count of  vreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry V Count of Luxembourg, Henry VI Count of Luxembourg has father Henry V Count of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I of Provence, Constance of Arles has father William I of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James III of Scotland has child James IV of Scotland, James IV of Scotland has father James III of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charlemagne has child Louis the Pious, Louis the Pious has father Charlemagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry VII of England has child Mary Tudor Queen of France, Mary Tudor Queen of France has father Henry VII of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Theobald III Count of Champagne, Theobald I of Navarre has father Theobald III Count of Champagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand III of Castile, Eleanor of Castile has father Ferdinand III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand III of Castile has child Alfonso X of Castile, Alfonso X of Castile has father Ferdinand III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
George Duke of Brunswic Calenberg, Ernest Augustus Elector of Hanover has father George Duke of Brunswic Calenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles II of Naples, Margaret Countess of Anjou has father Charles II of Naples. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry IV of France has child Louis XIII, Louis XIII has father Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry IV of France has child Henrietta Maria, Henrietta Maria has father Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry IV of France, Elisabeth of France 1602 1644 has father Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis IX Landgrave of Hesse Darmstadt, Princess Louise of Hesse Darmstadt 1757 1830 has father Louis IX Landgrave of Hesse Darmstadt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Pepin of Herstal has child Charles Martel, Charles Martel has father Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Giovanni delle Bande Nere, Cosimo I de Medici Grand Duke of Tuscany has father Giovanni delle Bande Nere. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Frederick IV Duke of Lorraine has child Rudolph Duke of Lorraine, Rudolph Duke of Lorraine has father Frederick IV Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis XIII, Philippe I Duke of Orl ans has father Louis XIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis XIII has child Louis XIV, Louis XIV has father Louis XIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has father Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philippe I Duke of Orl ans has child Anne Marie d Orl ans, Anne Marie d Orl ans has father Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles V of France has child Louis I Duke of Orl ans, Louis I Duke of Orl ans has father Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ferdinand Karl Archduke of Austria Este has child Francis IV Duke of Modena, Francis IV Duke of Modena has father Ferdinand Karl Archduke of Austria Este. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso X of Castile has child Sancho IV of Castile, Sancho IV of Castile has father Alfonso X of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rudolf I of Germany has child Clemence of Austria, Clemence of Austria has father Rudolf I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rudolf I of Germany has child Judith of Habsburg, Judith of Habsburg has father Rudolf I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rudolf I of Germany has child Albert I of Germany, Albert I of Germany has father Rudolf I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Stephen V of Hungary, Mary of Hungary Queen of Naples has father Stephen V of Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Wenceslaus II of Bohemia, Elizabeth of Bohemia 1292 1330 has father Wenceslaus II of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry II of England has child Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has father Henry II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
James V of Scotland has child Mary Queen of Scots, Mary Queen of Scots has father James V of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip II Duke of Savoy, Louise of Savoy has father Philip II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip II Duke of Savoy has child Charles III Duke of Savoy, Charles III Duke of Savoy has father Philip II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Peter II of Courtenay, Yolanda of Courtenay has father Peter II of Courtenay. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert I Count of Artois, Blanche of Artois has father Robert I Count of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Manuel I of Portugal, Isabella of Portugal has father Manuel I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Afonso V of Portugal, John II of Portugal has father Afonso V of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ingerman Count of Hesbaye, Ermengarde of Hesbaye has father Ingerman Count of Hesbaye. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Gerard Duke of Lorraine has child Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has father Gerard Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Andrew II of Hungary, Violant of Hungary has father Andrew II of Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Matthew Stewart 4th Earl of Lennox, Henry Stuart Lord Darnley has father Matthew Stewart 4th Earl of Lennox. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Edward the Elder has child Eadgifu of Wessex, Eadgifu of Wessex has father Edward the Elder. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles IV of Spain, Mar a Isabella of Spain has father Charles IV of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy has child Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has father Charles Emmanuel II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Bolko I the Strict, Beatrice of Silesia has father Bolko I the Strict. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Sancho IV of Castile, Ferdinand IV of Castile has father Sancho IV of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Frederick Duke of Brunswic Calenberg, Wilhelmine Amalie of Brunswick has father John Frederick Duke of Brunswic Calenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Thomas Count of Savoy, Beatrice of Savoy has father Thomas Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Frederick II Count of Vaud mont, Ren  II Duke of Lorraine has father Frederick II Count of Vaud mont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Igor of Kiev has child Sviatoslav I, Sviatoslav I has father Igor of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Dirk II Count of Holland has child Arnulf Count of Holland, Arnulf Count of Holland has father Dirk II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rupert King of the Romans, Margaret of the Palatinate has father Rupert King of the Romans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Antoine Duke of Montpensier has child Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has father Antoine Duke of Montpensier. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Albert II of Germany, Elizabeth of Austria 1436 1505 has father Albert II of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Hugh of Tours, Adelaide of Tours has father Hugh of Tours. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Burkhard V Count of Hohenberg, Gertrude of Hohenberg has father Burkhard V Count of Hohenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis I of Brzeg, Margaret of Brieg has father Louis I of Brzeg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy, Louis Duke of Savoy has father Amadeus VIII Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Fulk King of Jerusalem, Sibylla of Anjou has father Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has child Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Augustus III of Poland, Maria Josepha of Saxony Dauphine of France has father Augustus III of Poland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Augustus III of Poland, Maria Amalia of Saxony has father Augustus III of Poland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip IV of France, Isabella of France has father Philip IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Odo I Count of Orl ans, Ermentrude of Orl ans has father Odo I Count of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ernest Frederick I Duke of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has father Ernest Frederick I Duke of Saxe Hildburghausen. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has child Marie Ad la de of Savoy, Marie Ad la de of Savoy has father Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia has child Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has father Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Adalbert I of Ivrea, Berengar II of Italy has father Adalbert I of Ivrea. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Sancho III of Castile has child Alfonso VIII of Castile, Alfonso VIII of Castile has father Sancho III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
William XII Count of Auvergne, Joan I Countess of Auvergne has father William XII Count of Auvergne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Edward the Exile, Saint Margaret of Scotland has father Edward the Exile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip VI of France, John II of France has father Philip VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert I of Germany has child Albert II Duke of Austria, Albert II Duke of Austria has father Albert I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
