Rule 4:
If predecessor ?a, then successor ?b.
Desiderius has successor Charlemagne, Charlemagne has predecessor Desiderius. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ludovico Sforza has successor Louis XII, Louis XII has predecessor Ludovico Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
James II of Scotland, James III of Scotland has predecessor James II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has successor Beatrice of Provence, Beatrice of Provence has predecessor Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Afonso IV of Portugal, Peter I of Portugal has predecessor Afonso IV of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Adalbert Duke of Lorraine, Gerard Duke of Lorraine has predecessor Adalbert Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon, Alfonso II of Aragon has predecessor Ramon Berenguer IV Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Yolanda Latin Empress has successor Robert I Latin Emperor, Robert I Latin Emperor has predecessor Yolanda Latin Empress. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Richard III of England, Henry VII of England has predecessor Richard III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Afonso II of Portugal, Sancho II of Portugal has predecessor Afonso II of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Hugh V Duke of Burgundy has successor Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has predecessor Hugh V Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip I of Castile, Joanna of Castile has predecessor Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg has successor Albert I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Vladimir the Great has successor Yaropolk I of Kiev, Yaropolk I of Kiev has predecessor Vladimir the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Vladimir the Great has successor Sviatopolk I of Kiev, Sviatopolk I of Kiev has predecessor Vladimir the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Simon I Duke of Lorraine, Matthias I Duke of Lorraine has predecessor Simon I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles Duke of Orl ans has successor Louis XII, Louis XII has predecessor Charles Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joan III Countess of Burgundy has successor Philip I Duke of Burgundy, Philip I Duke of Burgundy has predecessor Joan III Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sigismund Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Sigismund Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy, Odo II Duke of Burgundy has predecessor Hugh II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Hemma, Liutgard of Saxony died 885 has predecessor Hemma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Louis I of Anjou has successor Louis II of Anjou, Louis II of Anjou has predecessor Louis I of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry I of France has successor Philip I of France, Philip I of France has predecessor Henry I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Francesco I Sforza, Galeazzo Maria Sforza has predecessor Francesco I Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Berengar I of Italy has successor Rudolph II of Burgundy, Rudolph II of Burgundy has predecessor Berengar I of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Francis II of France has successor Charles IX of France, Charles IX of France has predecessor Francis II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Marozia has successor Willa of Burgundy, Willa of Burgundy has predecessor Marozia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia, Charles Emmanuel IV of Sardinia has predecessor Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ladislaus the Posthumous, Frederick III Holy Roman Emperor has predecessor Ladislaus the Posthumous. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Henry I of Navarre has successor Joan I of Navarre, Joan I of Navarre has predecessor Henry I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon has successor Alfonso V of Aragon, Alfonso V of Aragon has predecessor Ferdinand I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Simon Count of Ponthieu has successor Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Simon Count of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rurik has successor Oleg of Novgorod, Oleg of Novgorod has predecessor Rurik. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Agnes de Baudemont has successor Robert II Count of Dreux, Robert II Count of Dreux has predecessor Agnes de Baudemont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Peter II of Courtenay has successor Yolanda Latin Empress, Yolanda Latin Empress has predecessor Peter II of Courtenay. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maximilian II Holy Roman Emperor has successor Rudolf II Holy Roman Emperor, Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John Frederick Duke of Brunswic Calenberg has successor Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has predecessor John Frederick Duke of Brunswic Calenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine, Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip the Good, Charles the Bold has predecessor Philip the Good. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Berengar II of Italy has successor Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Berengar II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Archduchess Anna of Austria, Renata of Lorraine has predecessor Archduchess Anna of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Sweyn III of Denmark has successor Valdemar I of Denmark, Valdemar I of Denmark has predecessor Sweyn III of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert II of Scotland, Robert III of Scotland has predecessor Robert II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Marie Countess of Ponthieu has successor Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Geoffrey III Count of Anjou has successor Fulk IV Count of Anjou, Fulk IV Count of Anjou has predecessor Geoffrey III Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry II of Navarre, Antoine of Navarre has predecessor Henry II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has successor Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso XI of Castile has successor Peter of Castile, Peter of Castile has predecessor Alfonso XI of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Raymond of Burgundy, Henry Count of Portugal has predecessor Raymond of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert II Count of Artois has successor Mahaut Countess of Artois, Mahaut Countess of Artois has predecessor Robert II Count of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John of Bohemia has successor Charles IV Holy Roman Emperor, Charles IV Holy Roman Emperor has predecessor John of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry the Fowler, Otto I Holy Roman Emperor has predecessor Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Henry VII of England has successor Henry VIII, Henry VIII has predecessor Henry VII of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
George I of Great Britain has successor George II of Great Britain, George II of Great Britain has predecessor George I of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Humbert II Count of Savoy has successor Amadeus III Count of Savoy, Amadeus III Count of Savoy has predecessor Humbert II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis XIV, Louis XV has predecessor Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Hugh I Duke of Burgundy has successor Odo I Duke of Burgundy, Odo I Duke of Burgundy has predecessor Hugh I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Galeazzo Maria Sforza has successor Gian Galeazzo Sforza, Gian Galeazzo Sforza has predecessor Galeazzo Maria Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Dirk II Count of Holland has successor Arnulf Count of Holland, Arnulf Count of Holland has predecessor Dirk II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Conrad IV of Germany has successor Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has predecessor Conrad IV of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis XVII has successor Louis XVIII, Louis XVIII has predecessor Louis XVII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rudolph of France, Louis IV of France has predecessor Rudolph of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Lothair II of Italy has successor Berengar II of Italy, Berengar II of Italy has predecessor Lothair II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rudolf I of Germany has successor Adolf King of the Romans, Adolf King of the Romans has predecessor Rudolf I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes

Rule Statistics:
- PCA Confidence: 0.9273
- Rule Classification: POSITIVE (PCA Confidence 0.9273 >= threshold 0.5)
- Standard Confidence: 0.7486
- Head Coverage: 0.7571
