Rule 9:
If parent ?b, then predecessor ?b.
Afonso IV of Portugal has predecessor Denis of Portugal, Afonso IV of Portugal has parent Denis of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Margaret of Anjou, Margaret of Anjou has parent Isabella Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has parent Charles VI Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maredudd ap Tudur, Maredudd ap Tudur has parent Marged ferch Tomos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has parent Eadgifu of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has parent Giovanni delle Bande Nere. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has parent Frederick II Margrave of Meissen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Antoinette, Marie Antoinette has parent Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has parent Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has parent Archduchess Maria Clementina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berengar II of Italy, Berengar II of Italy has parent Adalbert I of Ivrea. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has parent Agnes de Baudemont Countess of Braine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf I Count of Flanders, Arnulf I Count of Flanders has parent  lfthryth Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Valdemar I of Denmark, Valdemar I of Denmark has parent Ingeborg of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Luxembourg has parent Sigismund Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Ingegerd Olofsdotter of Sweden has parent Olof Sk tkonung. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Countess of Ponthieu, Marie Countess of Ponthieu has parent Alys of France Countess of Vexin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland, James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mahaut Countess of Artois, Mahaut Countess of Artois has parent Amicie de Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has parent  lisabeth Charlotte d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has parent Philippe I Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Jeanne d Albret, Jeanne d Albret has parent Henry II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Martel has predecessor Pepin of Herstal, Charles Martel has parent Pepin of Herstal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Denis of Portugal has predecessor Afonso III of Portugal, Denis of Portugal has parent Afonso III of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Rudolph of France, Rudolph of France has parent Adelaide of Auxerre born c. 870. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has parent Constance of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has parent Louis Jean Marie de Bourbon Duke of Penthi vre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Theresa of Savoy has parent Victor Amadeus III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Jos phine of Savoy, Marie Jos phine of Savoy has parent Victor Amadeus III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VI of France, Louis VI of France has parent Philip I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has parent Louise of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Louise of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II of France, Philip II of France has parent Louis VII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Louis VII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf Count of Holland has predecessor Dirk II Count of Holland, Arnulf Count of Holland has parent Dirk II Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Eckhard I Count of Scheyern, Eckhard I Count of Scheyern has parent Otto I Count of Scheyern. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Silesia, Beatrice of Silesia has parent Bolko I the Strict. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has parent Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XIII, Louis XIII has parent Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta Maria has parent Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Conrad I of Burgundy has predecessor Rudolph II of Burgundy, Conrad I of Burgundy has parent Rudolph II of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
John I Duke of Brittany has predecessor Peter I Duke of Brittany, John I Duke of Brittany has parent Peter I Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Louis Bonaparte, Louis Bonaparte has parent Letizia Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Napoleon, Napoleon has parent Letizia Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Theobald II Count of Champagne has parent Adela of Normandy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Constance of Arles, Constance of Arles has parent William I of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Richard Count of  tampes, Richard Count of  tampes has parent John IV Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabeau of Bavaria, Isabeau of Bavaria has parent Taddea Visconti. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise of Lorraine, Louise of Lorraine has parent Nicolas Duke of Merc ur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Middle Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has parent Anna of Nassau Dillenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mary Tudor Queen of France, Mary Tudor Queen of France has parent Henry VII of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph II of Burgundy has parent Guilla of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Baldwin II Count of Hainaut, Baldwin II Count of Hainaut has parent Richilde Countess of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has parent Henry the Lion. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gerard Duke of Lorraine, Gerard Duke of Lorraine has parent Gerard de Bouzonville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eug nie de Montijo, Eug nie de Montijo has parent Mar a Manuela Kirkpatrick de Grevign e. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louise  lisabeth of France, Louise  lisabeth of France has parent Louis XV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has parent Louis XV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy, Hugh III Duke of Burgundy has parent Odo II Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
William VIII Duke of Aquitaine, William VIII Duke of Aquitaine has parent William V Duke of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry IV of England, Henry IV of England has parent Blanche of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen III Duke of Bavaria, Stephen III Duke of Bavaria has parent Elisabeth of Sicily Duchess of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Bavaria, Louis I Duke of Bavaria has parent Otto I Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Baux, Margaret of Baux has parent Francis of Baux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Robert II Duke of Burgundy has parent Yolande of Dreux Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has parent Yolande of Dreux Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter of Courtenay Lord of Conches, Peter of Courtenay Lord of Conches has parent Robert of Courtenay Lord of Champignelles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Emma of Italy, Emma of Italy has parent Lothair II of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has parent Adolphus Frederick I Duke of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has parent Adolphus Frederick I Duke of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh Capet, Hugh Capet has parent Hugh the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward III of England, Edward III of England has parent Isabella of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VIII of France, Louis VIII of France has parent Isabella of Hainault. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I of Castile, John I of Castile has parent Juana Manuel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has parent Janus of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of the Palatinate, Margaret of the Palatinate has parent Elisabeth of Nuremberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has parent Vladislaus II of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto IV Count of Burgundy, Otto IV Count of Burgundy has parent Hugh Count of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Fat has predecessor Louis the German, Charles the Fat has parent Louis the German. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Prince Philippe Count of Paris, Prince Philippe Count of Paris has parent Duchess Helene of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has parent John Stewart 1st Earl of Lennox. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maud FitzJohn Countess of Warwick, Maud FitzJohn Countess of Warwick has parent John Fitzgeoffrey. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330, Elizabeth of Bohemia 1292 1330 has parent Wenceslaus II of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has parent Elisabeth of Carinthia Queen of the Romans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Giovanni delle Bande Nere, Giovanni delle Bande Nere has parent Giovanni il Popolano. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile, Ferdinand II of Le n has parent Alfonso VII of Le n and Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Constance of Castile, Constance of Castile has parent Alfonso VII of Le n and Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho III of Castile has predecessor Alfonso VII of Le n and Castile, Sancho III of Castile has parent Alfonso VII of Le n and Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
George III, George III has parent Princess Augusta of Saxe Gotha. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Baldwin III Count of Flanders, Baldwin III Count of Flanders has parent Arnulf I Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XVIII, Louis XVIII has parent Maria Josepha of Saxony Dauphine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles X, Charles X has parent Maria Josepha of Saxony Dauphine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Austria has parent Wilhelmine Amalie of Brunswick. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolf II Count of Habsburg, Rudolf II Count of Habsburg has parent Albert III Count of Habsburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Elizabeth of Austria 1436 1505 has parent Elizabeth of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Bertha of Burgundy, Bertha of Burgundy has parent Conrad I of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis II of Anjou has predecessor Louis I of Anjou, Louis II of Anjou has parent Louis I of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Elizabeth Woodville, Elizabeth Woodville has parent Richard Woodville 1st Earl Rivers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has parent Sophia Eleonore of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter II of Aragon, Peter II of Aragon has parent Sancha of Castile Queen of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso II Count of Provence, Alfonso II Count of Provence has parent Sancha of Castile Queen of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XVI, Louis XVI has parent Louis Dauphin of France son of Louis XV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles X, Charles X has parent Louis Dauphin of France son of Louis XV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has parent Margaret Stewart Lady Gordon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has parent Margaret of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has parent Margaret of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho I of Portugal has predecessor Afonso I of Portugal, Sancho I of Portugal has parent Afonso I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Edward the Elder has predecessor Alfred the Great, Edward the Elder has parent Alfred the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Alfonso II of Aragon has predecessor Petronilla of Aragon, Alfonso II of Aragon has parent Petronilla of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Adelaide of Maurienne, Adelaide of Maurienne has parent Gisela of Burgundy Marchioness of Montferrat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Poppa of Bayeux, Poppa of Bayeux has parent Berengar II of Neustria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry II Count of Louvain, Henry II Count of Louvain has parent Lambert II Count of Louvain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has parent Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Bourbon, Isabella of Bourbon has parent Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Luisa of Parma, Maria Luisa of Parma has parent Philip Duke of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has parent Magnus I Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maud Chaworth, Maud Chaworth has parent Isabella de Beauchamp. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hildegard of the Vinzgau, Hildegard of the Vinzgau has parent Gerold of Vinzgau. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has parent Augustus III of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Claude of France, Claude of France has parent Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anne Gonzaga, Anne Gonzaga has parent Charles I Gonzaga Duke of Mantua. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Reginar III Count of Hainaut, Reginar III Count of Hainaut has parent Adelaide of Burgundy born c. 896. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Louis I Duke of Bourbon has parent Robert Count of Clermont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has parent John II of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Sophia of Minsk. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Maria Anna of Bavaria born 1551 has parent Albert V Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has parent Edward III of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ecgberht King of Wessex, Ecgberht King of Wessex has parent Ealhmund of Kent. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Henry son of Robert I of Burgundy has parent Robert I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has parent Urraca of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh of Italy, Hugh of Italy has parent Theobald of Arles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has parent Francesco III d Este Duke of Modena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has parent Mar a Isabella of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Flanders Duchess of Brabant has parent Matilda of B thune. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has parent Hugh of Tours. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella de Beauchamp, Isabella de Beauchamp has parent Maud FitzJohn Countess of Warwick. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Silesia, Beatrice of Silesia has parent Beatrice of Brandenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
George I of Great Britain, George I of Great Britain has parent Ernest Augustus Elector of Hanover. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Th r se of France, Marie Th r se of France has parent Marie Antoinette. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Martel, Charles Martel has parent Alpaida. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Luisa of Parma, Maria Luisa of Parma has parent Louise  lisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto II Duke of Bavaria, Otto II Duke of Bavaria has parent Louis I Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso I of Portugal has predecessor Theresa Countess of Portugal, Afonso I of Portugal has parent Theresa Countess of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Pierfrancesco the Elder, Pierfrancesco the Elder has parent Lorenzo the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has parent Francis Count of Vend me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Fowler, Henry the Fowler has parent Otto I Duke of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Lancaster, Eleanor of Lancaster has parent Henry 3rd Earl of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I Count of La Marche, John I Count of La Marche has parent James I Count of La Marche. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has parent Maria Christina of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Flanders Duchess of Brabant has parent Guy Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy, Amadeus VIII Duke of Savoy has parent Bonne of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Portugal, Isabella of Portugal has parent Maria of Aragon Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II of Spain, Philip II of Spain has parent Isabella of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has parent Isabella of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
