Rule 7:
If child ?a, then predecessor ?b.
Philip II Duke of Savoy, Anne of Cyprus has child Philip II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Louis Duke of Savoy has child Philip II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Gregoria Maximiliana of Austria, Maria Anna of Bavaria born 1551 has child Archduchess Gregoria Maximiliana of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Luise Marie of the Palatinate, Anne Gonzaga has child Luise Marie of the Palatinate. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis XV has child Louis Dauphin of France son of Louis XV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Felix of Sardinia, Victor Amadeus III of Sardinia has child Charles Felix of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Felix of Sardinia, Maria Antonia Ferdinanda of Spain has child Charles Felix of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matthew Count of Boulogne, Sibylla of Anjou has child Matthew Count of Boulogne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Ferdinand Karl Viktor of Austria Este, Maria Beatrice of Savoy has child Archduke Ferdinand Karl Viktor of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Ferdinand Karl Viktor of Austria Este, Francis IV Duke of Modena has child Archduke Ferdinand Karl Viktor of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George Gordon 5th Earl of Huntly, George Gordon 4th Earl of Huntly has child George Gordon 5th Earl of Huntly. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George Gordon 5th Earl of Huntly, Elizabeth Gordon Countess of Huntly has child George Gordon 5th Earl of Huntly. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mieszko III the Old, Salomea of Berg has child Mieszko III the Old. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard I of England, Eleanor of Aquitaine has child Richard I of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard I of England, Henry II of England has child Richard I of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joanna of Aragon Queen of Naples, John II of Aragon has child Joanna of Aragon Queen of Naples. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John of Castile Lord of Valencia de Campos, Alfonso X of Castile has child John of Castile Lord of Valencia de Campos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Anjou Marquis of Pont   Mousson, Isabella Duchess of Lorraine has child Louis of Anjou Marquis of Pont   Mousson. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Anjou Marquis of Pont   Mousson, Ren  of Anjou has child Louis of Anjou Marquis of Pont   Mousson. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancho Alfonso, Alfonso XI of Castile has child Sancho Alfonso. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem, Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Prince Octavius of Great Britain, Charlotte of Mecklenburg Strelitz has child Prince Octavius of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Octavius of Great Britain, George III has child Prince Octavius of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lothair the Lame, Charles the Bald has child Lothair the Lame. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Charles V of France has child Louis I Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Joanna of Bourbon has child Louis I Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Aragon Queen of Portugal, Ferdinand II of Aragon has child Isabella of Aragon Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Thomas Grey 1st Marquess of Dorset, Elizabeth Woodville has child Thomas Grey 1st Marquess of Dorset. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard of Cornwall, John King of England has child Richard of Cornwall. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Maurizio Duke of Montferrat, Maria Antonia Ferdinanda of Spain has child Prince Maurizio Duke of Montferrat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Maurizio Duke of Montferrat, Victor Amadeus III of Sardinia has child Prince Maurizio Duke of Montferrat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Scotland Duchess of Brittany, James I of Scotland has child Isabella of Scotland Duchess of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Napoleon, Letizia Bonaparte has child Napoleon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancha of Castile Queen of Navarre, Alfonso VII of Le n and Castile has child Sancha of Castile Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry Beaumont 3rd Baron Beaumont, Eleanor of Lancaster has child Henry Beaumont 3rd Baron Beaumont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry VIII has predecessor Henry VII of England, Henry VII of England has child Henry VIII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Otto I Holy Roman Emperor has predecessor Henry the Fowler, Henry the Fowler has child Otto I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Marie Ad la de of Savoy, Victor Amadeus II of Sardinia has child Marie Ad la de of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of England Duchess of Brabant, Edward I of England has child Margaret of England Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis the Stammerer, Ermentrude of Orl ans has child Louis the Stammerer. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John II Duke of Bavaria, Stephen II Duke of Bavaria has child John II Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Duke of Touraine, Charles VI of France has child John Duke of Touraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Nicholas Francis Duke of Lorraine has child Charles V Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Luisa of Naples and Sicily, Ferdinand I of the Two Sicilies has child Luisa of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancha Lady of Alenquer, Sancho I of Portugal has child Sancha Lady of Alenquer. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Mary of Burgundy Duchess of Cleves has child Marie of Cleves Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Portugal Holy Roman Empress, Eleanor of Aragon Queen of Portugal has child Eleanor of Portugal Holy Roman Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Portugal Holy Roman Empress, Edward King of Portugal has child Eleanor of Portugal Holy Roman Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Valois Duchess of Berry, Francis I of France has child Margaret of Valois Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Valois Duchess of Berry, Claude of France has child Margaret of Valois Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William IX Count of Poitiers, Henry II of England has child William IX Count of Poitiers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William IX Count of Poitiers, Eleanor of Aquitaine has child William IX Count of Poitiers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catalina Micaela of Spain, Philip II of Spain has child Catalina Micaela of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830, Countess Palatine Caroline of Zweibr cken has child Princess Louise of Hesse Darmstadt 1757 1830. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
James of Castile Lord of Cameros, Alfonso X of Castile has child James of Castile Lord of Cameros. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna of Austria Queen of Spain, Maximilian II Holy Roman Emperor has child Anna of Austria Queen of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Otto I Count Palatine of Mosbach, Elisabeth of Nuremberg has child Otto I Count Palatine of Mosbach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Gabriel of Spain, Maria Amalia of Saxony has child Infante Gabriel of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry of France Archbishop of Reims, Adelaide of Maurienne has child Henry of France Archbishop of Reims. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edward Woodville Lord Scales, Jacquetta of Luxembourg has child Edward Woodville Lord Scales. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Elisabeth of Austria born 1743, Francis I Holy Roman Emperor has child Archduchess Maria Elisabeth of Austria born 1743. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Patrick Gordon of Auchindoun, George Gordon 4th Earl of Huntly has child Patrick Gordon of Auchindoun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Patrick Gordon of Auchindoun, Elizabeth Gordon Countess of Huntly has child Patrick Gordon of Auchindoun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf IV Duke of Austria has predecessor Albert II Duke of Austria, Albert II Duke of Austria has child Rudolf IV Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Odo IV Duke of Burgundy, Robert II Duke of Burgundy has child Odo IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter of Castile Lord of Cameros, Sancho IV of Castile has child Peter of Castile Lord of Cameros. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Bavaria, Louis IV Holy Roman Emperor has child Beatrice of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Caroline Louise of Saxe Weimar Eisenach, Princess Louise of Hesse Darmstadt 1757 1830 has child Princess Caroline Louise of Saxe Weimar Eisenach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis the Younger has predecessor Louis the German, Louis the German has child Louis the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis the Younger, Hemma has child Louis the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jean Gordon Countess of Bothwell, Elizabeth Gordon Countess of Huntly has child Jean Gordon Countess of Bothwell. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jean Gordon Countess of Bothwell, George Gordon 4th Earl of Huntly has child Jean Gordon Countess of Bothwell. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Countess Palatine Hedwig Elisabeth of Neuburg, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Countess Palatine Hedwig Elisabeth of Neuburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Urraca of Castile Queen of Navarre, Alfonso VII of Le n and Castile has child Urraca of Castile Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
David Stewart Earl of Strathearn, Robert II of Scotland has child David Stewart Earl of Strathearn. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand III Grand Duke of Tuscany has predecessor Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has child Ferdinand III Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Margaret of Provence, Ramon Berenguer IV Count of Provence has child Margaret of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Provence, Beatrice of Savoy has child Margaret of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Margaret of Austria nun, Ferdinand I Holy Roman Emperor has child Archduchess Margaret of Austria nun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Barbara of Hesse, Christine of Saxony has child Barbara of Hesse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William II Duke of Bavaria, Margaret of Brieg has child William II Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophie of France 1776 1783, Charles X has child Sophie of France 1776 1783. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edwin son of Edward the Elder, Edward the Elder has child Edwin son of Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edwin son of Edward the Elder,  lffl d wife of Edward the Elder has child Edwin son of Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Antoine Duke of Montpensier has child Princess Marie Isabelle of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Infanta Luisa Fernanda Duchess of Montpensier has child Princess Marie Isabelle of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Alexandre Prince of Lamballe, Maria Teresa Felicitas d Este has child Louis Alexandre Prince of Lamballe. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Joseph Franz of Austria, Maria Theresa of Naples and Sicily has child Archduke Joseph Franz of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Joseph Franz of Austria, Francis II Holy Roman Emperor has child Archduke Joseph Franz of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Robert Duke of Chartres, Duchess Helene of Mecklenburg Schwerin has child Prince Robert Duke of Chartres. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Robert Duke of Chartres, Ferdinand Philippe Duke of Orl ans has child Prince Robert Duke of Chartres. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of France, Louis IV of France has child Matilda of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of France, Gerberga of Saxony has child Matilda of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis VI of France, Bertha of Holland has child Louis VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Saint Casimir, Elizabeth of Austria 1436 1505 has child Saint Casimir. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Portugal nun, Afonso III of Portugal has child Maria of Portugal nun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philippa of Dreux, Robert II Count of Dreux has child Philippa of Dreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Aragon Queen of Castile, Eleanor of Alburquerque has child Maria of Aragon Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Aragon Queen of Castile, Ferdinand I of Aragon has child Maria of Aragon Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George IV, Charlotte of Mecklenburg Strelitz has child George IV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George IV has predecessor George III, George III has child George IV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Princess Mar a Cristina of Orl ans, Infanta Luisa Fernanda Duchess of Montpensier has child Princess Mar a Cristina of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Mar a Cristina of Orl ans, Antoine Duke of Montpensier has child Princess Mar a Cristina of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip V of France, Joan I of Navarre has child Philip V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria de Medici 1540 1557, Cosimo I de Medici Grand Duke of Tuscany has child Maria de Medici 1540 1557. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter I of Courtenay, Louis VI of France has child Peter I of Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matthias Holy Roman Emperor, Maria of Austria Holy Roman Empress has child Matthias Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matthias Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Matthias Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip the Bold, Bonne of Luxembourg has child Philip the Bold. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Ferdinand I Holy Roman Emperor has child Maria of Austria Duchess of J lich Cleves Berg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Anne of Bohemia and Hungary has child Maria of Austria Duchess of J lich Cleves Berg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabelle of France saint, Louis VIII of France has child Isabelle of France saint. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabelle of France saint, Blanche of Castile has child Isabelle of France saint. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Alfred of Great Britain, Charlotte of Mecklenburg Strelitz has child Prince Alfred of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Alfred of Great Britain, George III has child Prince Alfred of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry Duke of Villena, Eleanor of Alburquerque has child Henry Duke of Villena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry Duke of Villena, Ferdinand I of Aragon has child Henry Duke of Villena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Elizabeth of Great Britain, Princess Augusta of Saxe Gotha has child Princess Elizabeth of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Elizabeth of Great Britain, Frederick Prince of Wales has child Princess Elizabeth of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jean de Montagu, Charles V of France has child Jean de Montagu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of Habsburg, Rudolf I of Germany has child Matilda of Habsburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip de Medici, Joanna of Austria Grand Duchess of Tuscany has child Philip de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marguerite of Lorraine, Francis II Duke of Lorraine has child Marguerite of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George III, Frederick Prince of Wales has child George III. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of England, John King of England has child Isabella of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has child Louis Philippe II Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Philibert II Duke of Savoy, Margaret of Bourbon 1438 1483 has child Philibert II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Grimoald the Younger has predecessor Pepin of Herstal, Pepin of Herstal has child Grimoald the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Francis II of France, Catherine de Medici has child Francis II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis II of France has predecessor Henry II of France, Henry II of France has child Francis II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Philippe Emmanuel Duke of Merc ur, Nicolas Duke of Merc ur has child Philippe Emmanuel Duke of Merc ur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Valdemar II of Denmark, Sophia of Minsk has child Valdemar II of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Valdemar II of Denmark, Valdemar I of Denmark has child Valdemar II of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine Henriette de Bourbon, Henry IV of France has child Catherine Henriette de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancho III of Castile has predecessor Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Sancho III of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
John FitzAlan 1st Baron Arundel, Eleanor of Lancaster has child John FitzAlan 1st Baron Arundel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Manuel of Castile, Ferdinand III of Castile has child Manuel of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Napoleon III, Hortense de Beauharnais has child Napoleon III. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Napoleon III, Louis Bonaparte has child Napoleon III. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Willa of Burgundy, Rudolph I of Burgundy has child Willa of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter Duke of Coimbra, John I of Portugal has child Peter Duke of Coimbra. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip of Castile Lord of Cabrera and Ribera, Sancho IV of Castile has child Philip of Castile Lord of Cabrera and Ribera. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Anjou, Isabella Duchess of Lorraine has child Margaret of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Anjou, Ren  of Anjou has child Margaret of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret II Countess of Hainaut, Joan of Valois Countess of Hainaut has child Margaret II Countess of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Valois, Henry II of France has child Louis of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey archbishop of York, Henry II of England has child Geoffrey archbishop of York. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bonne of Bourbon, Isabella of Valois Duchess of Bourbon has child Bonne of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis VI Landgrave of Hesse Darmstadt, Sophia Eleonore of Saxony has child Louis VI Landgrave of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Victor Emmanuel I of Sardinia, Victor Amadeus III of Sardinia has child Victor Emmanuel I of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Victor Emmanuel I of Sardinia, Maria Antonia Ferdinanda of Spain has child Victor Emmanuel I of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 lisabeth of France, Maria Josepha of Saxony Dauphine of France has child  lisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richeza of Denmark, Valdemar I of Denmark has child Richeza of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richeza of Denmark, Sophia of Minsk has child Richeza of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip I Count of Flanders, Sibylla of Anjou has child Philip I Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
